START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,11.03,11.03,5,11.12,11.12,1,10.87,10.87,2,10.90,10.90,6,11.13,11.13,3,10.91,10.91,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
2,14.31,25.34,3,14.25,25.37,6,14.84,25.71,4,14.57,25.47,1,14.20,25.33,5,14.60,25.51,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
3,13.44,38.78,4,13.52,38.89,6,13.46,39.17,5,13.55,39.02,1,13.23,38.56,2,13.19,38.70,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
4,13.88,52.66,5,13.92,52.81,6,13.86,53.03,3,13.58,52.60,1,13.85,52.41,2,13.85,52.55,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
4,11.13,1:03.79,5,11.16,1:03.97,6,11.32,1:04.35,1,10.73,1:03.33,2,11.10,1:03.51,3,11.09,1:03.64,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
4,10.84,1:14.63,5,10.78,1:14.75,6,10.53,1:14.88,1,11.04,1:14.37,2,10.93,1:14.44,3,10.90,1:14.54,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
4,11.26,1:25.89,5,11.27,1:26.02,6,11.29,1:26.17,2,11.24,1:25.61,1,11.12,1:25.56,3,11.24,1:25.78,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
4,10.57,1:36.46,5,10.59,1:36.61,6,10.55,1:36.72,3,10.70,1:36.31,1,10.67,1:36.23,2,10.52,1:36.30,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
6,10.76,1:47.22,5,10.52,1:47.13,3,10.17,1:46.89,4,10.64,1:46.95,1,10.53,1:46.76,2,10.58,1:46.88,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
4,10.09,1:57.31,6,10.38,1:57.51,1,9.79,1:56.68,3,10.32,1:57.27,2,10.38,1:57.14,5,10.47,1:57.35,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
2,9.63,2:06.94,6,10.38,2:07.89,1,10.07,2:06.75,4,10.34,2:07.61,3,10.34,2:07.48,5,10.43,2:07.78,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
1,9.72,2:16.66,6,10.66,2:18.55,2,10.18,2:16.93,4,10.57,2:18.18,3,10.49,2:17.97,5,10.49,2:18.27,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
1,9.90,2:26.56,6,10.66,2:29.21,2,10.14,2:27.07,4,10.63,2:28.81,3,10.71,2:28.68,5,10.67,2:28.94,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
1,10.20,2:36.758,5,10.97,2:40.176,2,10.43,2:37.496,3,10.80,2:39.602,6,31.49,3:00.165,4,10.71,2:39.648,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
