START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
5,9.58,9.58,7,9.84,9.84,1,9.28,9.28,6,9.69,9.69,4,9.45,9.45,2,9.29,9.29,3,9.37,,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Heats,4
6,13.09,22.67,7,12.92,22.76,4,13.20,22.48,5,12.88,22.57,3,12.95,22.40,1,12.98,22.27,2,13.00,,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Heats,4
6,11.81,34.48,4,11.33,34.09,5,11.84,34.32,6,11.91,34.48,1,11.42,33.82,3,11.74,34.01,2,11.58,,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Heats,4
6,10.51,44.99,1,10.35,44.44,5,10.56,44.88,7,10.62,45.10,2,10.68,44.50,4,10.73,44.74,3,10.66,,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Heats,4
6,10.38,55.37,1,10.43,54.87,5,10.39,55.27,7,10.41,55.51,2,10.44,54.94,4,10.35,55.09,2,10.33,,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Heats,4
6,10.22,1:05.59,2,10.29,1:05.16,5,10.24,1:05.51,7,10.19,1:05.70,1,10.10,1:05.04,4,10.31,1:05.40,3,10.31,,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Heats,4
6,9.89,1:15.48,3,9.99,1:15.15,5,9.87,1:15.38,7,9.89,1:15.59,1,10.01,1:15.05,2,9.72,1:15.12,4,9.91,,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Heats,4
6,9.60,1:25.08,5,9.81,1:24.96,4,9.40,1:24.78,7,9.50,1:25.09,2,9.44,1:24.49,1,9.27,1:24.39,3,9.37,,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Heats,4
6,9.47,1:34.55,3,9.34,1:34.30,2,9.40,1:34.18,4,9.33,1:34.42,7,10.63,1:35.12,1,9.65,1:34.04,5,9.95,,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Heats,4
6,9.75,1:44.30,3,9.65,1:43.95,1,9.58,1:43.76,4,9.66,1:44.08,7,9.90,1:45.02,2,9.73,1:43.77,5,9.76,,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Heats,4
5,9.52,1:53.82,3,9.23,1:53.18,1,9.13,1:52.89,4,9.23,1:53.31,7,9.72,1:54.74,2,9.25,1:53.02,6,9.77,,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Heats,4
5,9.50,2:03.32,3,9.08,2:02.26,1,9.08,2:01.97,4,9.09,2:02.40,7,9.97,2:04.71,2,9.04,2:02.06,6,10.11,,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Heats,4
5,9.67,2:12.99,3,9.28,2:11.54,1,8.82,2:10.79,4,9.26,2:11.66,7,10.15,2:14.86,2,8.99,2:11.05,6,10.33,,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Heats,4
5,9.95,2:22.94,4,10.50,2:22.04,1,9.06,2:19.85,3,9.83,2:21.49,7,10.24,2:25.10,2,9.29,2:20.34,6,10.56,,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Heats,4
