START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,8.597,8.597,6,8.851,8.851,2,8.630,8.630,5,8.751,8.751,3,8.725,8.725,4,8.729,8.729,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,7
1,11.753,20.350,5,11.834,20.684,3,11.820,20.449,6,12.070,20.821,4,11.878,20.603,2,11.685,20.414,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,7
2,12.024,32.374,6,12.150,32.834,3,11.996,32.445,4,11.635,32.455,5,11.981,32.583,1,11.801,32.215,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,7
3,12.335,44.708,6,12.268,45.101,2,12.179,44.623,5,12.425,44.879,4,12.137,44.720,1,12.338,44.553,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,7
3,11.040,55.748,6,10.891,55.992,2,11.075,55.698,5,10.977,55.855,4,11.031,55.750,1,11.050,55.602,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,7
3,11.056,1:06.803,6,11.108,1:07.099,1,11.013,1:06.710,5,11.180,1:07.035,4,11.130,1:06.880,2,11.166,1:06.768,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,7
3,11.378,1:18.181,6,11.450,1:18.548,1,11.303,1:18.012,5,11.326,1:18.361,4,11.450,1:18.330,2,11.323,1:18.090,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,7
1,10.997,1:29.177,5,10.991,1:29.539,3,11.284,1:29.296,6,11.185,1:29.545,4,10.973,1:29.302,2,11.141,1:29.231,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,7
2,10.151,1:39.328,6,10.336,1:39.874,4,10.357,1:39.652,5,10.138,1:39.682,3,10.107,1:39.409,1,10.083,1:39.313,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,7
1,9.838,1:49.166,5,9.806,1:49.680,6,10.099,1:49.751,4,9.849,1:49.530,3,9.854,1:49.262,2,9.926,1:49.239,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,7
1,9.582,1:58.747,4,9.751,1:59.430,6,9.963,1:59.714,5,10.071,1:59.601,3,9.811,1:59.072,2,9.654,1:58.893,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,7
1,9.515,2:08.262,4,9.871,2:09.301,6,10.296,2:10.010,5,10.226,2:09.827,3,9.955,2:09.026,2,9.698,2:08.591,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,7
1,9.651,2:17.913,4,10.352,2:19.652,5,10.405,2:20.415,6,10.725,2:20.551,3,10.396,2:19.422,2,9.911,2:18.502,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,7
1,10.69,2:28.599,4,10.76,2:30.404,5,10.61,2:31.016,6,11.41,2:31.959,3,10.90,2:30.315,2,10.72,2:29.221,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,7
