START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,9.83,9.83,4,9.90,9.90,3,9.86,9.86,5,9.99,9.99,1,9.74,9.74,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,4
4,13.68,23.52,1,13.42,23.33,3,13.64,23.51,5,13.58,23.57,2,13.62,23.37,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,4
4,11.60,35.12,1,11.38,34.72,5,11.66,35.17,2,11.29,34.87,3,11.59,34.96,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,4
4,10.44,45.57,2,10.61,45.33,5,10.42,45.59,1,10.34,45.22,3,10.54,45.50,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,4
5,10.90,56.48,1,10.70,56.04,3,10.53,56.13,2,10.85,56.07,4,10.78,56.29,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,4
5,11.26,1:07.74,2,11.48,1:07.53,4,11.58,1:07.72,1,11.28,1:07.35,3,11.26,1:07.55,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,4
4,10.24,1:17.98,2,10.32,1:17.85,5,10.45,1:18.17,3,10.49,1:17.85,1,10.21,1:17.77,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,4
4,9.96,1:27.94,3,10.06,1:27.91,5,9.95,1:28.13,2,9.94,1:27.79,1,9.92,1:27.69,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,4
4,9.84,1:37.78,3,9.77,1:37.69,5,9.91,1:38.04,2,9.77,1:37.56,1,9.85,1:37.55,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,4
3,9.82,1:47.61,5,10.11,1:47.80,4,9.66,1:47.71,2,9.77,1:47.34,1,9.72,1:47.27,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,4
5,9.55,1:57.17,2,9.30,1:57.11,3,9.43,1:57.14,4,9.80,1:57.15,1,9.47,1:56.74,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,4
4,9.30,2:06.47,5,9.41,2:06.53,2,9.20,2:06.34,3,9.26,2:06.41,1,9.29,2:06.03,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,4
4,9.41,2:15.88,5,18.90,2:25.44,3,9.04,2:15.39,1,8.82,2:15.23,2,9.23,2:15.26,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,4
2,9.41,2:25.285,4,0.25,2:25.681,0,,DQ,1,9.57,2:24.795,3,10.27,2:25.522,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,4
