START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,7.57,7.57,3,7.97,7.97,6,8.34,8.34,4,8.11,8.11,2,7.87,7.87,5,8.30,8.30,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,5
1,11.03,18.60,3,10.96,18.93,4,10.82,19.17,5,11.11,19.22,2,10.82,18.70,6,10.98,19.29,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,5
1,10.62,29.23,3,10.40,29.33,5,10.49,29.66,4,10.28,29.51,2,10.58,29.28,6,10.37,29.67,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,5
1,10.75,39.99,3,10.74,40.08,6,10.80,40.47,4,10.82,40.33,2,10.73,40.01,5,10.77,40.44,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,5
1,10.64,50.63,4,10.77,50.86,6,10.62,51.09,5,10.66,50.99,2,10.61,50.63,3,10.35,50.80,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,5
2,9.88,1:00.52,4,9.84,1:00.70,5,9.74,1:00.84,6,9.89,1:00.88,3,9.92,1:00.56,1,9.56,1:00.37,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,5
2,9.86,1:10.38,4,9.78,1:10.48,6,9.81,1:10.66,5,9.75,1:10.64,3,9.83,1:10.39,1,9.93,1:10.30,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,5
4,10.27,1:20.65,3,10.06,1:20.54,6,10.22,1:20.88,5,10.23,1:20.87,2,10.14,1:20.53,1,10.19,1:20.50,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,5
4,9.64,1:30.30,1,9.52,1:30.07,6,9.65,1:30.54,5,9.60,1:30.48,3,9.74,1:30.28,2,9.73,1:30.24,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,5
6,9.79,1:40.09,2,9.51,1:39.58,4,9.38,1:39.92,5,9.45,1:39.94,1,9.01,1:39.29,3,9.48,1:39.72,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,5
6,9.29,1:49.39,2,9.37,1:48.96,5,9.38,1:49.30,4,9.31,1:49.25,1,9.53,1:48.83,3,9.41,1:49.13,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,5
5,9.46,1:58.85,2,9.63,1:58.59,4,9.52,1:58.83,6,9.71,1:58.96,1,9.62,1:58.45,3,9.56,1:58.69,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,5
4,9.76,2:08.62,2,9.66,2:08.25,6,10.14,2:08.98,5,10.01,2:08.97,1,9.61,2:08.07,3,9.73,2:08.43,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,5
4,9.68,2:18.301,2,9.81,2:18.059,0,,DQ,5,11.25,2:20.213,1,9.99,2:18.058,3,9.84,2:18.266,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,5
