START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,9.50,9.50,3,9.64,9.64,6,9.95,9.95,5,9.82,9.82,4,9.70,9.70,2,9.61,9.61,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,RepHeats,2
2,13.38,22.88,4,13.51,23.15,6,13.43,23.38,5,13.43,23.25,1,12.95,22.65,3,13.40,23.01,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,RepHeats,2
2,12.17,35.05,4,12.11,35.26,5,11.98,35.36,6,12.11,35.36,1,12.17,34.82,3,12.15,35.16,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,RepHeats,2
2,11.27,46.32,4,11.21,46.47,1,10.82,46.18,6,11.37,46.73,3,11.60,46.42,5,11.40,46.56,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,RepHeats,2
2,10.81,57.13,4,10.85,57.32,1,10.85,57.03,6,10.78,57.51,3,10.81,57.23,5,10.86,57.42,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,RepHeats,2
1,10.85,1:07.98,5,11.05,1:08.37,2,11.04,1:08.07,6,10.99,1:08.50,3,10.92,1:08.15,4,10.85,1:08.27,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,RepHeats,2
1,10.76,1:18.74,5,10.72,1:19.09,2,10.77,1:18.84,6,10.69,1:19.19,3,10.76,1:18.91,4,10.74,1:19.01,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,RepHeats,2
1,11.41,1:30.15,4,11.30,1:30.39,2,11.44,1:30.28,6,11.53,1:30.72,5,11.68,1:30.59,3,11.29,1:30.30,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,RepHeats,2
1,10.44,1:40.59,4,10.40,1:40.79,3,10.50,1:40.78,6,10.48,1:41.20,5,10.36,1:40.95,2,10.37,1:40.67,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,RepHeats,2
1,10.67,1:51.26,3,10.62,1:51.41,4,10.73,1:51.51,6,10.55,1:51.75,5,10.66,1:51.61,2,10.66,1:51.33,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,RepHeats,2
1,10.76,2:02.02,3,10.77,2:02.18,4,10.79,2:02.30,6,10.89,2:02.64,5,10.78,2:02.39,2,10.76,2:02.09,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,RepHeats,2
1,10.35,2:12.37,3,10.38,2:12.56,4,10.35,2:12.65,6,10.63,2:13.27,5,10.37,2:12.76,2,10.36,2:12.45,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,RepHeats,2
1,10.33,2:22.70,4,10.37,2:22.93,3,10.26,2:22.91,6,10.85,2:24.12,5,10.31,2:23.07,2,10.31,2:22.76,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,RepHeats,2
1,10.19,2:32.886,3,10.26,2:33.181,4,10.41,2:33.315,6,11.24,2:35.353,5,10.44,2:33.509,2,10.23,2:32.985,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,w,RepHeats,2
