START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,8.64,8.64,4,8.93,8.93,1,8.58,8.58,5,9.04,9.04,3,8.78,8.78,6,9.15,9.15,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,w,Heats,2
3,12.85,21.49,5,12.82,21.75,1,12.74,21.32,6,12.83,21.87,4,12.87,21.65,2,12.19,21.34,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,w,Heats,2
3,11.30,32.79,5,11.25,33.00,2,11.37,32.69,6,11.22,33.09,4,11.25,32.90,1,11.24,32.58,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,w,Heats,2
3,11.23,44.02,5,11.27,44.27,2,11.24,43.93,6,11.27,44.36,4,11.26,44.16,1,11.23,43.81,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,w,Heats,2
3,11.19,55.21,5,11.15,55.42,2,11.18,55.11,6,11.17,55.53,4,11.16,55.32,1,11.16,54.97,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,w,Heats,2
3,11.01,1:06.22,5,11.00,1:06.42,2,10.98,1:06.09,6,10.99,1:06.52,4,11.00,1:06.32,1,11.00,1:05.97,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,w,Heats,2
3,10.91,1:17.13,5,10.94,1:17.36,2,10.90,1:16.99,6,10.95,1:17.47,4,10.96,1:17.28,1,10.92,1:16.89,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,w,Heats,2
4,10.65,1:27.78,5,10.55,1:27.91,1,10.59,1:27.58,6,10.53,1:28.00,3,10.49,1:27.77,2,10.76,1:27.65,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,w,Heats,2
5,10.60,1:38.38,3,10.28,1:38.19,1,10.43,1:38.01,6,10.55,1:38.55,2,10.33,1:38.10,4,10.64,1:38.29,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,w,Heats,2
5,10.14,1:48.52,3,9.72,1:47.91,1,9.77,1:47.78,6,10.21,1:48.76,2,9.69,1:47.79,4,9.93,1:48.22,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,w,Heats,2
5,10.29,1:58.81,3,9.55,1:57.46,2,9.60,1:57.38,6,10.36,1:59.12,1,9.50,1:57.29,4,9.76,1:57.98,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,w,Heats,2
5,10.68,2:09.49,3,9.86,2:07.32,2,9.85,2:07.23,6,10.81,2:09.93,1,9.88,2:07.17,4,9.86,2:07.84,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,w,Heats,2
5,11.01,2:20.50,3,10.10,2:17.42,2,10.07,2:17.30,6,11.21,2:21.14,1,10.03,2:17.20,4,10.08,2:17.92,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,w,Heats,2
5,11.59,2:32.086,3,9.94,2:27.357,2,10.01,2:27.305,6,11.90,2:33.040,1,10.06,2:27.252,4,10.23,2:28.149,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,w,Heats,2
