START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,10.253,10.253,1,9.899,9.899,5,10.435,10.435,2,9.913,9.913,6,10.580,10.580,3,9.920,9.920,2007-2008,"2008 ISU World Junior Championships, Italy",1500M,w,Semifinals,1
4,14.668,24.921,3,14.728,24.627,5,14.699,25.134,2,14.713,24.626,6,14.692,25.272,1,14.562,24.482,2007-2008,"2008 ISU World Junior Championships, Italy",1500M,w,Semifinals,1
3,15.097,40.018,2,15.062,39.689,4,15.041,40.175,1,14.915,39.541,5,15.025,40.296,6,15.847,40.329,2007-2008,"2008 ISU World Junior Championships, Italy",1500M,w,Semifinals,1
3,14.667,54.684,2,14.846,54.535,4,14.683,54.858,1,14.677,54.218,6,14.673,54.969,5,14.531,54.859,2007-2008,"2008 ISU World Junior Championships, Italy",1500M,w,Semifinals,1
3,14.545,1:09.229,2,14.423,1:08.958,4,14.498,1:09.356,1,14.611,1:08.829,5,14.485,1:09.454,6,14.662,1:09.521,2007-2008,"2008 ISU World Junior Championships, Italy",1500M,w,Semifinals,1
3,12.891,1:22.120,2,12.885,1:21.842,4,12.865,1:22.221,1,12.790,1:21.620,5,12.842,1:22.297,6,12.838,1:22.359,2007-2008,"2008 ISU World Junior Championships, Italy",1500M,w,Semifinals,1
4,11.519,1:33.639,1,11.407,1:33.249,3,11.312,1:33.533,2,11.726,1:33.345,6,11.401,1:33.698,5,11.322,1:33.681,2007-2008,"2008 ISU World Junior Championships, Italy",1500M,w,Semifinals,1
6,10.190,1:43.829,1,9.862,1:43.111,5,10.250,1:43.783,2,9.953,1:43.298,3,9.645,1:43.342,4,10.080,1:43.761,2007-2008,"2008 ISU World Junior Championships, Italy",1500M,w,Semifinals,1
5,9.645,1:53.474,3,9.889,1:52.999,1,9.087,1:52.870,2,9.592,1:52.890,6,24.869,2:08.211,4,9.570,1:53.331,2007-2008,"2008 ISU World Junior Championships, Italy",1500M,w,Semifinals,1
5,10.071,2:03.545,3,9.845,2:02.844,1,9.653,2:02.523,2,9.796,2:02.686,6,21.401,2:29.613,4,10.006,2:03.337,2007-2008,"2008 ISU World Junior Championships, Italy",1500M,w,Semifinals,1
5,10.218,2:13.763,3,9.879,2:12.723,1,10.058,2:12.581,2,9.949,2:12.634,6,14.031,2:43.643,4,9.953,2:13.290,2007-2008,"2008 ISU World Junior Championships, Italy",1500M,w,Semifinals,1
5,10.908,2:24.671,3,10.077,2:22.800,1,9.990,2:22.571,2,9.979,2:22.613,6,12.328,2:55.972,4,10.035,2:23.325,2007-2008,"2008 ISU World Junior Championships, Italy",1500M,w,Semifinals,1
5,11.645,2:36.316,3,10.252,2:33.052,1,10.102,2:32.673,2,10.175,2:32.788,6,11.727,3:07.698,4,10.216,2:33.540,2007-2008,"2008 ISU World Junior Championships, Italy",1500M,w,Semifinals,1
5,12.624,2:48.940,3,10.718,2:43.770,1,10.475,2:43.147,2,10.485,2:43.272,6,12.396,3:20.094,4,11.413,2:44.953,2007-2008,"2008 ISU World Junior Championships, Italy",1500M,w,Semifinals,1
