START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,9.39,9.39,1,9.26,9.26,4,9.64,9.64,3,9.54,9.54,5,9.83,9.83,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Quarterfinals,4
2,14.99,24.38,1,14.99,24.25,4,15.02,24.66,3,15.02,24.56,5,15.14,24.97,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Quarterfinals,4
3,13.84,38.22,2,13.84,38.09,1,13.21,37.87,4,13.88,38.44,5,13.67,38.64,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Quarterfinals,4
3,12.24,50.46,2,12.26,50.35,1,12.29,50.16,4,12.16,50.60,5,12.08,50.72,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Quarterfinals,4
3,11.95,1:02.41,2,11.98,1:02.33,1,11.99,1:02.15,4,11.97,1:02.57,5,11.96,1:02.68,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Quarterfinals,4
2,10.93,1:13.34,3,11.02,1:13.35,1,11.14,1:13.29,5,11.10,1:13.67,4,10.86,1:13.54,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Quarterfinals,4
4,10.52,1:23.86,1,10.29,1:23.64,2,10.44,1:23.73,5,10.23,1:23.90,3,10.23,1:23.77,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Quarterfinals,4
4,9.48,1:33.34,2,9.53,1:33.17,3,9.51,1:33.24,5,9.55,1:33.45,1,9.29,1:33.06,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Quarterfinals,4
4,9.69,1:43.03,2,9.68,1:42.85,3,9.69,1:42.93,5,9.73,1:43.18,1,9.71,1:42.77,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Quarterfinals,4
4,9.82,1:52.85,1,9.68,1:52.53,3,9.75,1:52.68,5,9.77,1:52.95,2,9.77,1:52.54,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Quarterfinals,4
4,9.30,2:02.15,1,9.36,2:01.89,3,9.40,2:02.08,5,9.29,2:02.24,2,9.46,2:02.00,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Quarterfinals,4
4,9.39,2:11.54,2,9.33,2:11.22,3,9.26,2:11.34,5,9.44,2:11.68,1,9.06,2:11.06,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Quarterfinals,4
4,9.26,2:20.80,2,9.12,2:20.34,3,9.17,2:20.51,5,9.28,2:20.96,1,9.12,2:20.18,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Quarterfinals,4
4,9.54,2:30.335,2,9.26,2:29.594,3,9.51,2:30.012,5,9.41,2:30.365,1,9.35,2:29.525,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,m,Quarterfinals,4
