START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,7.881,7.881,2,7.209,7.209,3,7.533,7.533,1,6.849,6.849,5,8.112,8.112,6,8.240,8.240,2004-2005,"2005 World Championships, China",1500M,m,Heats,6
3,9.636,17.517,1,9.844,17.052,2,9.694,17.227,6,12.302,19.151,5,9.853,17.965,4,9.708,17.948,2004-2005,"2005 World Championships, China",1500M,m,Heats,6
3,9.988,27.504,1,10.152,27.204,2,10.085,27.312,6,12.920,32.070,4,9.660,27.624,5,9.844,27.791,2004-2005,"2005 World Championships, China",1500M,m,Heats,6
3,10.979,38.482,4,11.375,38.579,2,11.120,38.431,6,9.760,41.830,1,10.439,38.063,5,11.032,38.823,2004-2005,"2005 World Championships, China",1500M,m,Heats,6
4,10.820,49.302,2,10.398,48.976,3,10.788,49.218,6,9.934,51.764,1,10.857,48.920,5,10.743,49.566,2004-2005,"2005 World Championships, China",1500M,m,Heats,6
4,11.050,1:00.352,2,10.990,59.965,3,10.896,1:00.114,6,9.644,1:01.407,1,10.828,59.747,5,11.003,1:00.568,2004-2005,"2005 World Championships, China",1500M,m,Heats,6
3,10.155,1:10.506,1,10.391,1:10.356,4,10.398,1:10.512,6,9.677,1:11.083,2,10.748,1:10.495,5,10.370,1:10.938,2004-2005,"2005 World Championships, China",1500M,m,Heats,6
3,10.298,1:20.803,1,10.300,1:20.655,2,10.225,1:20.736,5,10.093,1:21.176,4,10.420,1:20.915,6,10.350,1:21.287,2004-2005,"2005 World Championships, China",1500M,m,Heats,6
1,9.920,1:30.722,4,10.266,1:30.921,2,10.118,1:30.854,6,10.295,1:31.470,3,9.961,1:30.875,5,9.991,1:31.278,2004-2005,"2005 World Championships, China",1500M,m,Heats,6
2,10.166,1:40.888,1,9.730,1:40.650,4,10.242,1:41.095,6,10.166,1:41.636,3,10.049,1:40.924,5,10.188,1:41.466,2004-2005,"2005 World Championships, China",1500M,m,Heats,6
3,9.846,1:50.733,2,10.007,1:50.657,1,8.849,1:49.944,6,10.683,1:52.318,4,9.889,1:50.813,5,9.775,1:51.240,2004-2005,"2005 World Championships, China",1500M,m,Heats,6
3,9.392,2:00.125,2,9.468,2:00.124,1,9.343,1:59.287,6,11.697,2:04.015,5,10.340,2:01.153,4,9.444,2:00.684,2004-2005,"2005 World Championships, China",1500M,m,Heats,6
3,9.721,2:09.846,2,9.657,2:09.780,1,10.191,2:09.477,6,11.499,2:15.513,5,10.486,2:11.638,4,9.509,2:10.192,2004-2005,"2005 World Championships, China",1500M,m,Heats,6
2,9.61,2:19.447,3,9.76,2:19.537,1,9.92,2:19.393,6,12.67,2:28.179,5,11.44,2:23.077,4,9.79,2:19.974,2004-2005,"2005 World Championships, China",1500M,m,Heats,6
