START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,8.81,8.81,1,8.65,8.65,6,9.25,9.25,5,9.09,9.09,3,8.89,8.89,4,8.89,8.89,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,w,Semifinals,3
4,12.23,21.04,2,12.35,21.00,6,12.29,21.54,5,12.23,21.32,3,12.12,21.02,1,11.80,20.69,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,w,Semifinals,3
4,11.76,32.81,1,11.18,32.19,6,11.40,32.95,5,11.61,32.93,3,11.61,32.64,2,11.53,32.23,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,w,Semifinals,3
5,10.80,43.62,1,11.00,43.19,6,10.86,43.81,4,10.62,43.56,3,10.87,43.52,2,11.16,43.39,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,w,Semifinals,3
5,10.09,53.71,2,10.07,53.27,6,10.03,53.84,3,9.92,53.48,4,10.12,53.64,1,9.82,53.21,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,w,Semifinals,3
5,10.58,1:04.30,2,10.63,1:03.90,6,10.46,1:04.31,3,10.66,1:04.14,4,10.50,1:04.15,1,10.61,1:03.82,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,w,Semifinals,3
5,10.93,1:15.23,2,11.04,1:14.95,6,10.92,1:15.24,3,10.89,1:15.03,4,10.94,1:15.10,1,10.87,1:14.70,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,w,Semifinals,3
5,10.13,1:25.36,1,9.87,1:24.83,6,10.27,1:25.51,3,10.22,1:25.26,4,10.23,1:25.33,2,10.18,1:24.88,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,w,Semifinals,3
4,10.35,1:35.71,1,10.47,1:35.30,6,10.27,1:35.79,3,10.39,1:35.65,5,10.42,1:35.75,2,10.50,1:35.39,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,w,Semifinals,3
4,10.37,1:46.08,1,10.24,1:45.55,5,10.46,1:46.25,6,10.64,1:46.30,3,10.25,1:46.00,2,10.44,1:45.84,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,w,Semifinals,3
4,10.00,1:56.08,2,10.07,1:55.63,3,9.67,1:55.92,6,9.96,1:56.27,5,10.17,1:56.17,1,9.78,1:55.62,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,w,Semifinals,3
5,9.81,2:05.90,3,9.88,2:05.51,1,9.23,2:05.15,6,10.00,2:06.27,4,9.64,2:05.82,2,9.83,2:05.45,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,w,Semifinals,3
4,9.65,2:15.56,3,10.01,2:15.53,1,9.35,2:14.51,6,10.09,2:16.37,5,10.38,2:16.20,2,9.26,2:14.72,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,w,Semifinals,3
3,10.02,2:25.573,4,10.96,2:26.486,1,10.01,2:24.519,6,10.53,2:26.896,5,10.37,2:26.570,2,9.88,2:24.599,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,w,Semifinals,3
