START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,9.32,9.32,2,9.32,9.32,1,9.02,9.02,6,10.90,10.90,5,10.03,10.03,4,9.38,9.38,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Quarterfinals,2
5,15.12,24.44,4,15.12,24.44,1,15.13,24.15,3,13.53,24.43,6,14.78,24.81,2,14.99,24.37,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Quarterfinals,2
4,14.17,38.61,3,14.14,38.58,1,13.42,37.57,6,14.32,38.75,5,13.88,38.69,2,14.03,38.40,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Quarterfinals,2
3,12.32,50.93,2,12.34,50.92,1,13.08,50.65,6,13.04,51.79,5,12.37,51.06,4,12.61,51.01,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Quarterfinals,2
5,13.03,1:03.96,3,12.75,1:03.67,1,11.91,1:02.56,6,12.29,1:04.08,4,12.69,1:03.75,2,12.46,1:03.47,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Quarterfinals,2
3,11.60,1:15.56,4,11.91,1:15.58,1,12.44,1:15.00,6,11.91,1:15.99,5,11.83,1:15.58,2,11.81,1:15.28,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Quarterfinals,2
5,10.35,1:25.91,3,9.97,1:25.55,1,10.10,1:25.10,6,10.41,1:26.40,4,10.14,1:25.72,2,10.27,1:25.55,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Quarterfinals,2
5,10.29,1:36.20,3,10.26,1:35.81,1,10.39,1:35.49,6,10.04,1:36.44,4,10.40,1:36.12,2,10.09,1:35.64,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Quarterfinals,2
4,10.14,1:46.34,2,10.27,1:46.08,1,10.06,1:45.55,6,10.11,1:46.55,5,10.31,1:46.43,3,10.64,1:46.28,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Quarterfinals,2
6,10.57,1:56.91,3,10.31,1:56.39,1,10.37,1:55.92,5,10.31,1:56.86,4,10.20,1:56.63,2,10.00,1:56.28,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Quarterfinals,2
5,10.09,2:07.00,3,10.02,2:06.41,1,10.05,2:05.97,6,10.21,2:07.07,4,10.20,2:06.83,2,9.93,2:06.21,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Quarterfinals,2
5,10.30,2:17.30,2,9.71,2:16.12,1,9.45,2:15.42,6,10.23,2:17.30,4,10.26,2:17.09,3,10.10,2:16.31,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Quarterfinals,2
4,9.80,2:27.10,2,9.98,2:26.10,1,10.63,2:26.05,6,10.38,2:27.68,5,10.17,2:27.26,3,10.72,2:27.03,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Quarterfinals,2
5,10.57,2:37.665,1,10.38,2:36.479,2,10.58,2:36.625,6,11.98,2:39.658,4,10.37,2:37.622,3,10.42,2:37.441,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Quarterfinals,2
