START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
1,11.96,11.96,7,13.22,13.22,5,12.82,12.82,4,12.58,12.58,2,12.10,,3,12.31,12.31,6,13.00,13.00,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,m,Semifinals,2
1,14.23,26.19,7,14.01,27.23,5,14.13,26.95,4,14.14,26.72,2,14.23,,3,14.22,26.53,6,14.07,27.07,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,m,Semifinals,2
1,12.62,38.81,7,12.26,39.49,4,12.21,39.16,5,12.48,39.20,2,12.59,,3,12.52,39.05,6,12.26,39.33,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,m,Semifinals,2
1,12.34,51.15,7,12.53,52.02,4,12.42,51.58,5,12.52,51.72,2,12.37,,3,12.39,51.44,6,12.50,51.83,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,m,Semifinals,2
1,12.03,1:03.18,7,12.00,1:04.02,4,12.08,1:03.66,5,12.08,1:03.80,2,12.01,,3,12.02,1:03.46,6,12.05,1:03.88,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,m,Semifinals,2
1,11.05,1:14.23,6,10.77,1:14.79,3,10.75,1:14.41,5,10.85,1:14.65,2,11.03,,4,11.02,1:14.48,7,11.08,1:14.96,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,m,Semifinals,2
2,9.51,1:23.74,6,9.32,1:24.11,1,9.24,1:23.65,4,9.23,1:23.88,3,9.50,,5,9.43,1:23.91,7,9.42,1:24.38,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,m,Semifinals,2
2,9.20,1:32.94,6,9.15,1:33.26,3,9.31,1:32.96,1,8.95,1:32.83,4,9.25,,5,9.25,1:33.16,7,9.24,1:33.62,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,m,Semifinals,2
2,9.13,1:42.07,6,9.18,1:42.44,3,9.22,1:42.18,1,9.15,1:41.98,4,9.21,,5,9.15,1:42.31,7,9.49,1:43.11,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,m,Semifinals,2
3,8.99,1:51.06,5,8.86,1:51.30,2,8.84,1:51.02,1,9.01,1:50.99,4,8.85,,6,9.09,1:51.40,7,9.87,1:52.98,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,m,Semifinals,2
2,9.11,2:00.17,3,8.94,2:00.24,1,8.86,1:59.88,7,19.65,2:10.64,6,17.60,,4,9.00,2:00.40,5,10.49,2:03.47,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,m,Semifinals,2
4,9.06,2:09.23,2,8.74,2:08.98,1,9.03,2:08.91,7,21.94,2:32.58,6,19.98,,3,8.78,2:09.18,5,11.00,2:14.47,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,m,Semifinals,2
4,9.74,2:18.97,1,8.89,2:17.87,3,9.28,2:18.19,7,11.76,2:44.34,6,11.93,,2,8.77,2:17.95,5,11.84,2:26.31,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,m,Semifinals,2
4,11.36,2:30.33,1,9.08,2:26.95,3,9.40,2:27.59,7,11.19,2:55.53,6,10.75,,2,9.06,2:27.01,5,12.34,2:38.65,2019-2020,ISU Four Continents Short Track Championships 2020 - Montreal (CAN),1500m,m,Semifinals,2
