START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
3,10.96,10.96,4,11.13,11.13,1,10.63,10.63,2,10.81,10.81,5,11.35,11.35,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,6
3,14.53,25.49,4,14.47,25.60,1,14.57,25.20,2,14.55,25.36,5,14.42,25.77,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,6
3,13.61,39.10,4,13.66,39.26,1,13.60,38.80,2,13.59,38.95,5,13.78,39.55,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,6
4,12.92,52.02,3,12.74,52.00,1,12.99,51.79,2,12.97,51.92,5,12.68,52.23,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,6
4,12.24,1:04.26,3,12.07,1:04.07,1,12.14,1:03.93,2,12.14,1:04.06,5,12.22,1:04.45,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,6
4,11.59,1:15.85,3,11.64,1:15.71,1,11.62,1:15.55,2,11.59,1:15.65,5,11.57,1:16.02,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,6
4,11.64,1:27.49,3,11.68,1:27.39,1,11.70,1:27.25,2,11.72,1:27.37,5,11.65,1:27.67,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,6
1,9.93,1:37.42,3,10.24,1:37.63,2,10.24,1:37.49,4,10.27,1:37.64,5,10.23,1:37.90,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,6
1,9.82,1:47.24,4,9.99,1:47.62,2,9.86,1:47.35,3,9.83,1:47.47,5,9.87,1:47.77,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,6
1,10.02,1:57.26,5,10.12,1:57.74,4,10.08,1:57.43,3,9.95,1:57.42,2,9.62,1:57.39,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,6
2,9.78,2:07.04,5,10.10,2:07.84,3,9.74,2:07.17,4,10.21,2:07.63,1,9.30,2:06.69,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,6
2,9.83,2:16.87,5,10.04,2:17.88,3,9.74,2:16.91,4,10.17,2:17.80,1,9.62,2:16.31,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,6
2,9.90,2:26.77,4,10.41,2:28.29,3,9.99,2:26.90,5,10.68,2:28.48,1,9.71,2:26.02,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,6
2,10.12,2:36.887,4,10.94,2:39.228,3,10.10,2:36.900,5,10.87,2:39.342,1,10.06,2:36.071,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,6
