START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
5,9.484,9.484,4,9.350,9.350,2,8.969,8.969,1,8.884,8.884,3,9.317,9.317,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,3
5,11.693,21.177,1,11.444,20.794,2,11.891,20.860,3,12.035,20.919,4,11.789,21.106,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,3
5,11.258,32.435,1,11.210,32.004,3,11.310,32.170,2,11.185,32.104,4,11.295,32.401,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,3
4,11.199,43.633,1,11.423,43.427,3,11.358,43.528,2,11.405,43.509,5,11.353,43.754,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,3
1,9.573,53.206,3,9.954,53.381,4,9.958,53.486,2,9.851,53.359,5,9.785,53.538,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,3
2,10.098,1:03.304,1,9.921,1:03.301,3,9.956,1:03.442,5,10.235,1:03.594,4,9.914,1:03.453,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,3
1,9.663,1:12.967,2,9.741,1:13.042,3,9.667,1:13.109,4,9.631,1:13.224,5,9.803,1:13.256,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,3
1,9.814,1:22.781,2,9.768,1:22.810,3,9.796,1:22.905,4,9.726,1:22.950,5,9.873,1:23.129,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,3
2,9.787,1:32.568,1,9.714,1:32.524,3,9.824,1:32.730,4,9.994,1:32.945,5,9.858,1:32.987,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,3
1,9.547,1:42.115,2,9.622,1:42.146,3,9.567,1:42.297,4,9.957,1:42.902,5,10.760,1:43.746,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,3
2,9.467,1:51.582,1,9.362,1:51.508,3,9.480,1:51.777,4,10.282,1:53.184,5,12.527,1:56.273,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,3
3,9.846,2:01.428,1,9.487,2:00.995,2,9.539,2:01.316,4,10.534,2:03.719,5,13.875,2:10.148,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,3
3,10.236,2:11.665,1,9.463,2:10.458,2,9.658,2:10.974,4,11.778,2:15.496,5,14.713,2:24.861,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,3
3,10.940,2:22.604,1,9.834,2:20.291,2,10.839,2:21.814,4,10.504,2:26.000,0,,,2007-2008,"Samsung ISU World Cup 2007/2008, Canada, Quebec City",1500m,m,RepSemifinals,3
