START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
1,8.96,1:42.13,2,9.00,1:42.23,4,9.19,1:42.54,3,9.06,1:42.39,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
1,8.99,1:51.12,2,8.90,1:51.13,4,8.75,1:51.29,3,8.84,1:51.23,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
1,8.86,1:59.98,2,8.96,2:00.09,4,9.05,2:00.34,3,8.98,2:00.21,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
1,8.95,2:08.93,2,8.90,2:08.99,4,8.99,2:09.33,3,8.93,2:09.14,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
1,8.92,2:17.85,2,8.89,2:17.88,3,8.66,2:17.99,4,8.96,2:18.10,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
1,8.83,2:26.68,2,8.88,2:26.76,4,9.09,2:27.08,3,8.77,2:26.87,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
1,8.92,2:35.60,2,8.95,2:35.71,4,8.86,2:35.94,3,8.98,2:35.85,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
1,8.88,2:44.48,2,8.85,2:44.56,4,8.94,2:44.88,3,8.85,2:44.70,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
1,8.68,2:53.16,2,8.88,2:53.44,4,8.85,2:53.73,3,8.94,2:53.64,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
1,9.10,3:02.26,2,8.94,3:02.38,3,8.82,3:02.55,4,9.03,3:02.67,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
2,8.89,3:11.15,1,8.75,3:11.13,3,8.74,3:11.29,4,8.79,3:11.46,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
2,8.80,3:19.95,4,9.17,3:20.30,1,7.94,3:19.23,3,8.79,3:20.25,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
1,8.98,3:28.93,4,9.02,3:29.32,2,9.86,3:29.09,3,9.00,3:29.25,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
3,9.17,3:38.10,2,8.76,3:38.08,1,8.91,3:38.00,4,9.08,3:38.33,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
1,8.73,3:46.83,2,8.92,3:47.00,3,9.24,3:47.24,4,8.99,3:47.32,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
1,8.95,3:55.78,2,8.92,3:55.92,3,8.95,3:56.19,4,9.08,3:56.40,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
1,8.85,4:04.63,2,8.77,4:04.69,3,8.63,4:04.82,4,8.83,4:05.23,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
1,8.91,4:13.54,3,8.96,4:13.65,2,8.80,4:13.62,4,8.76,4:13.99,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
2,9.10,4:22.64,4,9.79,4:23.44,1,8.90,4:22.52,3,8.94,4:22.93,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
3,8.96,4:31.60,2,8.15,4:31.59,1,8.97,4:31.49,4,9.14,4:32.07,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
3,8.98,4:40.58,2,8.84,4:40.43,1,8.62,4:40.11,4,9.02,4:41.09,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
3,8.75,4:49.33,2,8.68,4:49.11,1,8.90,4:49.01,4,8.98,4:50.07,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
3,8.80,4:58.13,2,8.81,4:57.92,1,8.75,4:57.76,4,8.91,4:58.98,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
1,7.98,5:06.11,4,10.53,5:08.45,2,8.94,5:06.70,3,8.97,5:07.95,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
2,9.93,5:16.04,4,9.14,5:17.59,1,8.89,5:15.59,3,8.98,5:16.93,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
2,9.09,5:25.13,4,8.83,5:26.42,1,9.15,5:24.74,3,8.89,5:25.82,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
2,9.07,5:34.20,4,9.02,5:35.44,1,8.96,5:33.70,3,9.11,5:34.93,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
2,8.91,5:43.11,4,9.34,5:44.78,1,9.02,5:42.72,3,8.98,5:43.91,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
2,8.70,5:51.81,4,9.01,5:53.79,1,8.91,5:51.63,3,8.81,5:52.72,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
2,9.00,6:00.81,4,9.10,6:02.89,1,8.74,6:00.37,3,8.75,6:01.47,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
2,9.07,6:09.88,4,8.72,6:11.61,1,9.08,6:09.45,3,8.98,6:10.45,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
2,9.06,6:18.94,4,8.77,6:20.38,1,9.23,6:18.68,3,8.99,6:19.44,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
2,9.37,6:28.31,4,8.91,6:29.29,1,8.99,6:27.67,3,9.06,6:28.50,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
2,8.74,6:37.05,4,10.92,6:40.21,1,9.00,6:36.67,3,8.83,6:37.33,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
2,8.95,6:45.998,4,7.50,6:47.701,1,8.96,6:45.628,3,8.92,6:46.243,2010-2011,"ISU World Cup 2010/2011, GER, Dresden",5000mRelay,m,Heats,3
