START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,10.103,10.103,5,10.450,10.450,2,10.317,10.317,3,10.355,10.355,4,10.375,10.375,2002-2003,2003 European Championships Russia,1500M,w,Heats,2
3,13.464,23.566,5,13.600,24.049,2,13.152,23.469,1,13.097,23.451,4,13.381,23.756,2002-2003,2003 European Championships Russia,1500M,w,Heats,2
3,12.432,35.997,5,12.318,36.367,2,12.461,35.930,1,12.376,35.826,4,12.391,36.146,2002-2003,2003 European Championships Russia,1500M,w,Heats,2
3,12.607,48.603,5,12.739,49.106,2,12.566,48.496,1,12.623,48.449,4,12.806,48.952,2002-2003,2003 European Championships Russia,1500M,w,Heats,2
3,12.322,1:00.925,4,12.067,1:01.172,2,12.349,1:00.845,1,12.377,1:00.826,5,12.281,1:01.232,2002-2003,2003 European Championships Russia,1500M,w,Heats,2
3,11.422,1:12.347,5,11.255,1:12.427,1,11.325,1:12.169,2,11.378,1:12.203,4,11.141,1:12.373,2002-2003,2003 European Championships Russia,1500M,w,Heats,2
1,10.473,1:22.819,4,10.648,1:23.075,3,10.761,1:22.930,2,10.653,1:22.856,5,10.754,1:23.126,2002-2003,2003 European Championships Russia,1500M,w,Heats,2
3,10.708,1:33.527,5,10.697,1:33.771,2,10.571,1:33.501,1,10.620,1:33.476,4,10.582,1:33.707,2002-2003,2003 European Championships Russia,1500M,w,Heats,2
4,19.215,1:52.741,3,10.845,1:44.615,2,10.238,1:43.739,1,10.246,1:43.722,5,21.290,1:54.997,2002-2003,2003 European Championships Russia,1500M,w,Heats,2
4,12.830,2:05.571,3,10.349,1:54.964,2,10.229,1:53.967,1,10.108,1:53.829,5,11.166,2:06.162,2002-2003,2003 European Championships Russia,1500M,w,Heats,2
4,10.807,2:16.378,3,10.714,2:05.677,2,10.146,2:04.112,1,10.102,2:03.930,5,10.403,2:16.564,2002-2003,2003 European Championships Russia,1500M,w,Heats,2
4,10.549,2:26.927,3,10.680,2:16.357,2,10.396,2:14.508,1,10.287,2:14.217,5,10.596,2:27.160,2002-2003,2003 European Championships Russia,1500M,w,Heats,2
5,10.661,2:37.587,3,10.978,2:27.334,2,10.432,2:24.939,1,10.381,2:24.597,4,10.416,2:37.575,2002-2003,2003 European Championships Russia,1500M,w,Heats,2
4,10.85,2:48.435,3,11.22,2:38.545,2,11.34,2:36.273,1,11.00,2:35.588,0,,DQ,2002-2003,2003 European Championships Russia,1500M,w,Heats,2
