START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,9.17,9.17,5,9.49,9.49,4,9.28,9.28,2,9.11,9.11,1,9.01,9.01,6,9.69,9.69,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Quarterfinals,1
4,12.03,21.20,5,11.87,21.36,1,11.54,20.82,2,11.82,20.93,3,12.04,21.05,6,11.82,21.51,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Quarterfinals,1
4,11.54,32.74,5,11.61,32.97,1,11.67,32.49,2,11.67,32.60,3,11.69,32.74,6,11.64,33.15,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Quarterfinals,1
1,10.77,43.51,5,11.02,43.99,2,11.09,43.58,3,11.06,43.66,4,11.02,43.76,6,10.98,44.13,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Quarterfinals,1
1,11.04,54.55,5,10.93,54.92,3,11.05,54.63,2,10.94,54.60,4,11.00,54.76,6,10.91,55.04,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Quarterfinals,1
1,10.59,1:05.14,6,10.76,1:05.68,5,10.84,1:05.47,2,10.63,1:05.23,3,10.60,1:05.36,4,10.37,1:05.41,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Quarterfinals,1
1,10.82,1:15.96,6,10.86,1:16.54,5,10.90,1:16.37,2,10.79,1:16.02,3,10.77,1:16.13,4,10.83,1:16.24,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Quarterfinals,1
2,10.03,1:25.99,6,9.87,1:26.41,5,9.79,1:26.16,1,9.83,1:25.85,3,9.94,1:26.07,4,9.84,1:26.08,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Quarterfinals,1
2,9.92,1:35.91,6,9.93,1:36.34,5,10.09,1:36.25,1,9.96,1:35.81,4,10.04,1:36.11,3,9.91,1:35.99,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Quarterfinals,1
2,10.03,1:45.94,4,9.67,1:46.01,6,9.95,1:46.20,1,10.04,1:45.85,5,9.99,1:46.10,3,10.00,1:45.99,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Quarterfinals,1
4,9.80,1:55.74,1,9.17,1:55.18,6,9.79,1:55.99,2,9.48,1:55.33,5,9.77,1:55.87,3,9.45,1:55.44,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Quarterfinals,1
3,9.63,2:05.37,1,9.38,2:04.56,5,9.64,2:05.63,2,9.34,2:04.67,4,9.65,2:05.52,6,25.51,2:20.95,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Quarterfinals,1
4,9.99,2:15.36,1,9.51,2:14.07,5,9.80,2:15.43,2,9.49,2:14.16,3,9.73,2:15.25,6,19.27,2:40.22,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Quarterfinals,1
4,10.03,2:25.386,1,9.52,2:23.587,5,10.04,2:25.467,2,9.52,2:23.677,3,10.11,2:25.357,6,14.94,2:55.158,2013-2014,"ISU World Cup 2013/2014, Torino (ITA)",1500m,w,Quarterfinals,1
