START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,8.36,8.36,5,9.35,9.35,0,,,2,8.49,8.49,3,8.63,8.63,4,9.21,9.21,2008-2009,"2009 ISU World Junior Championships, Canada",1500M,m,Heats,6
2,13.18,21.54,5,12.57,21.93,1,0.00,21.37,4,13.20,21.70,3,13.02,21.66,6,12.99,22.21,2008-2009,"2009 ISU World Junior Championships, Canada",1500M,m,Heats,6
3,10.73,32.28,5,10.46,32.40,2,10.84,32.21,4,10.66,32.36,1,10.50,32.17,6,10.31,32.52,2008-2009,"2009 ISU World Junior Championships, Canada",1500M,m,Heats,6
4,10.02,42.30,5,10.02,42.42,3,10.03,42.25,1,9.59,41.95,2,9.91,42.08,6,10.07,42.60,2008-2009,"2009 ISU World Junior Championships, Canada",1500M,m,Heats,6
4,9.91,52.22,3,9.77,52.20,5,9.98,52.23,1,9.96,51.92,2,9.92,52.00,6,9.87,52.48,2008-2009,"2009 ISU World Junior Championships, Canada",1500M,m,Heats,6
4,10.65,1:02.87,5,10.71,1:02.92,3,10.44,1:02.68,1,10.54,1:02.46,2,10.66,1:02.67,6,10.61,1:03.09,2008-2009,"2009 ISU World Junior Championships, Canada",1500M,m,Heats,6
4,10.50,1:13.38,5,10.47,1:13.39,3,10.51,1:13.19,1,10.57,1:13.04,2,10.40,1:13.07,6,10.50,1:13.59,2008-2009,"2009 ISU World Junior Championships, Canada",1500M,m,Heats,6
3,10.04,1:23.43,5,10.16,1:23.56,4,10.24,1:23.44,2,10.19,1:23.23,1,9.99,1:23.06,6,10.16,1:23.76,2008-2009,"2009 ISU World Junior Championships, Canada",1500M,m,Heats,6
3,10.48,1:33.92,4,10.38,1:33.94,5,10.55,1:33.99,1,10.53,1:33.77,2,10.73,1:33.80,6,10.49,1:34.25,2008-2009,"2009 ISU World Junior Championships, Canada",1500M,m,Heats,6
3,10.09,1:44.01,6,10.61,1:44.56,4,10.04,1:44.04,1,9.96,1:43.73,2,9.97,1:43.78,5,9.82,1:44.07,2008-2009,"2009 ISU World Junior Championships, Canada",1500M,m,Heats,6
5,10.26,1:54.28,6,10.08,1:54.64,4,9.88,1:53.93,2,9.73,1:53.46,1,9.63,1:53.41,3,9.58,1:53.66,2008-2009,"2009 ISU World Junior Championships, Canada",1500M,m,Heats,6
5,10.23,2:04.51,6,11.36,2:06.01,4,9.74,2:03.67,3,9.93,2:03.40,1,9.36,2:02.78,2,9.64,2:03.31,2008-2009,"2009 ISU World Junior Championships, Canada",1500M,m,Heats,6
5,10.51,2:15.03,6,11.35,2:17.37,4,10.07,2:13.74,3,10.19,2:13.59,1,9.93,2:12.71,2,9.49,2:12.80,2008-2009,"2009 ISU World Junior Championships, Canada",1500M,m,Heats,6
5,10.73,2:25.760,6,11.55,2:28.911,3,10.27,2:24.006,4,10.87,2:24.458,2,10.04,2:22.747,1,9.74,2:22.537,2008-2009,"2009 ISU World Junior Championships, Canada",1500M,m,Heats,6
