START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
1,12.84,12.84,2,12.91,,4,13.19,13.19,3,13.11,,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),3000mRelay,w,FinalB,1
1,9.33,22.17,2,9.43,,3,9.30,22.49,4,9.58,,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),3000mRelay,w,FinalB,1
1,9.56,31.73,2,9.54,,3,9.61,32.10,4,10.61,,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),3000mRelay,w,FinalB,1
2,9.68,41.41,1,9.28,,3,9.46,41.56,4,9.86,,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),3000mRelay,w,FinalB,1
2,9.25,50.66,1,9.13,,3,9.32,50.88,4,9.71,,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),3000mRelay,w,FinalB,1
2,9.37,1:00.03,1,9.02,,3,9.36,1:00.24,4,9.63,,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),3000mRelay,w,FinalB,1
2,9.11,1:09.14,1,9.09,,3,9.13,1:09.37,4,9.52,,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),3000mRelay,w,FinalB,1
2,8.84,1:17.98,1,9.31,,3,9.14,1:18.51,4,9.17,,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),3000mRelay,w,FinalB,1
2,9.02,1:27.00,1,9.18,,3,9.18,1:27.69,4,9.77,,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),3000mRelay,w,FinalB,1
1,9.25,1:36.25,2,9.37,,3,9.78,1:37.47,4,9.92,,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),3000mRelay,w,FinalB,1
2,9.41,1:45.66,1,9.18,,3,9.65,1:47.12,4,9.67,,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),3000mRelay,w,FinalB,1
2,9.49,1:55.15,1,9.18,,3,9.69,1:56.81,4,9.89,,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),3000mRelay,w,FinalB,1
2,9.20,2:04.35,1,9.20,,3,9.47,2:06.28,4,9.31,,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),3000mRelay,w,FinalB,1
2,8.90,2:13.25,1,9.22,,3,9.51,2:15.79,4,9.48,,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),3000mRelay,w,FinalB,1
1,8.93,2:22.18,2,9.19,,3,9.31,2:25.10,4,9.85,,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),3000mRelay,w,FinalB,1
2,9.51,2:31.69,1,9.43,,3,9.94,2:35.04,4,9.89,,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),3000mRelay,w,FinalB,1
2,9.47,2:41.16,1,9.24,,3,9.89,2:44.93,4,11.33,,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),3000mRelay,w,FinalB,1
2,9.46,2:50.62,1,9.47,,3,9.45,2:54.38,4,10.48,,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),3000mRelay,w,FinalB,1
2,8.96,2:59.58,1,9.09,,3,9.73,3:04.11,4,9.49,,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),3000mRelay,w,FinalB,1
1,9.18,3:08.76,2,9.44,,3,9.80,3:13.91,4,9.56,,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),3000mRelay,w,FinalB,1
2,9.45,3:18.21,1,9.22,,3,9.35,3:23.26,4,10.12,,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),3000mRelay,w,FinalB,1
2,9.83,3:28.04,1,9.90,,3,10.18,3:33.44,4,10.19,,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),3000mRelay,w,FinalB,1
3,16.26,3:44.30,1,9.60,,2,9.98,3:43.42,4,9.95,,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),3000mRelay,w,FinalB,1
3,10.24,3:54.54,1,9.94,,2,10.05,3:53.47,4,10.24,,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),3000mRelay,w,FinalB,1
3,9.24,4:03.78,1,10.53,,2,9.60,4:03.07,4,9.60,,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),3000mRelay,w,FinalB,1
3,8.95,4:12.73,1,10.27,,2,9.40,4:12.47,4,9.76,,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),3000mRelay,w,FinalB,1
1,9.18,4:21.910,1,10.36,,2,9.69,4:22.165,4,9.97,,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),3000mRelay,w,FinalB,1
