START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
2,8.87,8.87,3,8.98,8.98,3,8.98,8.98,1,8.76,8.76,5,9.22,9.22,6,9.23,9.23,7,9.46,9.46,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Semifinals,2
5,12.30,21.17,1,11.94,20.92,4,12.18,21.16,2,12.31,21.07,3,11.93,21.15,6,12.15,21.38,7,12.10,21.56,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Semifinals,2
2,10.28,31.45,2,10.53,31.45,5,10.51,31.67,4,10.49,31.56,1,10.21,31.36,6,10.30,31.68,7,10.32,31.88,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Semifinals,2
1,9.97,41.42,3,10.23,41.68,6,10.34,42.01,4,10.25,41.81,2,10.18,41.54,5,10.22,41.90,7,10.27,42.15,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Semifinals,2
2,10.22,51.64,3,10.00,51.68,6,9.99,52.00,1,9.72,51.53,4,10.30,51.84,5,10.01,51.91,7,9.95,52.10,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Semifinals,2
3,9.59,1:01.23,1,9.41,1:01.09,6,9.67,1:01.67,2,9.61,1:01.14,4,9.51,1:01.35,5,9.57,1:01.48,7,9.68,1:01.78,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Semifinals,2
3,9.83,1:11.06,1,9.82,1:10.91,6,9.72,1:11.39,2,9.83,1:10.97,4,9.81,1:11.16,5,9.78,1:11.26,7,9.72,1:11.50,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Semifinals,2
3,9.98,1:21.04,1,10.01,1:20.92,6,10.01,1:21.40,1,9.95,1:20.92,4,10.04,1:21.20,5,10.06,1:21.32,7,10.04,1:21.54,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Semifinals,2
3,10.00,1:31.04,2,10.05,1:30.97,6,10.00,1:31.40,1,9.95,1:30.87,4,9.96,1:31.16,5,9.96,1:31.28,6,9.86,1:31.40,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Semifinals,2
2,9.98,1:41.02,1,9.82,1:40.79,7,10.34,1:41.74,3,10.18,1:41.05,4,10.05,1:41.21,5,10.06,1:41.34,6,10.17,1:41.57,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Semifinals,2
2,9.61,1:50.63,1,9.75,1:50.54,7,10.34,1:52.08,3,9.82,1:50.87,4,9.70,1:50.91,5,9.77,1:51.11,6,9.99,1:51.56,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Semifinals,2
1,9.51,2:00.14,2,9.73,2:00.27,7,10.69,2:02.77,4,9.91,2:00.78,3,9.47,2:00.38,5,9.86,2:00.97,6,10.32,2:01.88,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Semifinals,2
1,9.68,2:09.82,2,9.72,2:09.99,7,11.23,2:14.00,4,10.09,2:10.87,3,9.87,2:10.25,5,10.02,2:10.99,6,10.58,2:12.46,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Semifinals,2
1,10.01,2:19.835,2,9.98,2:19.972,7,11.67,2:25.673,4,,2:21.465,3,10.30,2:20.554,5,,2:21.475,6,10.82,2:23.279,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(1),w,Semifinals,2
