START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
2,13.10,13.10,1,12.82,12.82,3,13.37,13.37,4,13.61,13.61,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Rep.Heats,2
2,16.84,29.94,1,16.89,29.71,3,16.77,30.14,4,16.73,30.34,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Rep.Heats,2
2,14.84,44.78,1,14.89,44.60,3,14.81,44.95,4,14.79,45.13,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Rep.Heats,2
2,14.39,59.17,1,14.40,59.00,3,14.41,59.36,4,14.41,59.54,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Rep.Heats,2
2,14.64,1:13.81,1,14.64,1:13.64,3,14.62,1:13.98,4,14.61,1:14.15,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Rep.Heats,2
2,14.79,1:28.60,1,14.82,1:28.46,3,14.79,1:28.77,4,14.79,1:28.94,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Rep.Heats,2
1,13.67,1:42.27,2,13.89,1:42.35,3,13.78,1:42.55,4,13.72,1:42.66,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Rep.Heats,2
1,11.86,1:54.13,2,11.86,1:54.21,3,11.82,1:54.37,4,11.81,1:54.47,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Rep.Heats,2
1,10.67,2:04.80,2,10.68,2:04.89,3,10.67,2:05.04,4,10.71,2:05.18,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Rep.Heats,2
1,10.15,2:14.95,2,10.14,2:15.03,3,10.11,2:15.15,4,10.06,2:15.24,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Rep.Heats,2
1,9.82,2:24.77,2,9.83,2:24.86,3,9.80,2:24.95,4,9.86,2:25.10,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Rep.Heats,2
1,9.77,2:34.54,2,9.81,2:34.67,3,9.81,2:34.76,4,9.76,2:34.86,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Rep.Heats,2
1,9.92,2:44.46,2,9.94,2:44.61,3,9.88,2:44.64,4,9.86,2:44.72,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Rep.Heats,2
1,9.94,2:54.40,4,10.33,2:54.928,2,9.84,2:54.48,3,9.99,2:54.701,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Rep.Heats,2
