START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
2,8.80,8.80,1,8.66,8.66,4,8.94,8.94,6,9.23,9.23,5,9.03,9.03,7,9.36,,3,8.92,8.92,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Semifinals,3
2,12.21,21.01,3,12.46,21.12,4,12.26,21.20,6,12.27,21.50,5,12.27,21.30,7,12.23,,1,11.95,20.87,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Semifinals,3
3,11.31,32.32,1,10.98,32.10,4,11.29,32.49,6,11.28,32.78,5,11.29,32.59,7,11.28,,2,11.37,32.24,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Semifinals,3
2,10.93,43.25,1,11.10,43.20,4,10.96,43.45,7,11.11,43.89,5,10.97,43.56,6,10.79,,3,11.07,43.31,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Semifinals,3
1,10.46,53.71,2,10.60,53.80,4,10.52,53.97,7,10.39,54.28,5,10.51,54.07,6,10.53,,3,10.57,53.88,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Semifinals,3
2,10.59,1:04.30,1,10.49,1:04.29,4,10.63,1:04.60,7,10.65,1:04.93,5,10.64,1:04.71,6,10.64,,3,10.63,1:04.51,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Semifinals,3
2,10.12,1:14.42,1,10.04,1:14.33,4,10.04,1:14.64,7,10.14,1:15.07,5,10.05,1:14.76,6,10.01,,3,10.03,1:14.54,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Semifinals,3
5,10.11,1:24.53,1,9.87,1:24.20,3,9.79,1:24.43,6,9.57,1:24.64,4,9.71,1:24.47,2,9.52,,7,18.48,1:33.02,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Semifinals,3
5,9.63,1:34.16,1,9.59,1:33.79,2,9.37,1:33.80,6,9.68,1:34.32,4,9.54,1:34.01,3,9.52,,7,13.95,1:46.97,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Semifinals,3
5,9.11,1:43.27,2,9.21,1:43.00,1,9.19,1:42.99,6,9.11,1:43.43,2,8.99,1:43.00,4,9.30,,7,10.63,1:57.60,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Semifinals,3
6,9.17,1:52.44,2,8.86,1:51.86,3,8.99,1:51.98,5,8.98,1:52.41,1,8.67,1:51.67,4,8.90,,7,9.70,2:07.30,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Semifinals,3
6,10.09,2:02.53,2,8.87,2:00.73,3,8.79,2:00.77,5,9.00,2:01.41,1,8.88,2:00.55,4,8.85,,7,9.78,2:17.08,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Semifinals,3
6,10.06,2:12.59,2,9.03,2:09.76,3,9.14,2:09.91,5,9.30,2:10.71,1,8.99,2:09.54,4,9.15,,7,10.19,2:27.27,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Semifinals,3
5,10.31,2:22.909,2,9.18,2:18.945,3,9.24,2:19.153,4,9.75,2:20.469,1,9.15,2:18.699,4,9.34,,6,10.63,2:37.902,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Semifinals,3
