START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
5,8.93,8.93,1,8.17,8.17,3,8.57,8.57,4,8.74,8.74,2,8.35,8.35,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,2
5,11.89,20.82,2,12.25,20.42,1,11.83,20.40,4,11.82,20.56,3,12.21,20.56,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,2
5,10.72,31.54,4,10.97,31.39,1,10.77,31.17,2,10.62,31.18,3,10.70,31.26,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,2
5,10.11,41.65,2,10.00,41.39,4,10.34,41.51,1,10.18,41.36,3,10.16,41.42,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,2
5,10.18,51.83,1,10.11,51.50,4,10.24,51.75,2,10.23,51.59,3,10.21,51.63,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,2
5,10.16,1:01.99,1,10.11,1:01.61,4,10.04,1:01.79,2,10.10,1:01.69,3,10.11,1:01.74,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,2
5,9.63,1:11.62,2,9.59,1:11.20,4,9.72,1:11.51,3,9.64,1:11.33,1,9.33,1:11.07,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,2
4,9.25,1:20.87,2,9.45,1:20.65,5,9.38,1:20.89,3,9.45,1:20.78,1,9.48,1:20.55,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,2
2,8.96,1:29.83,3,9.26,1:29.91,5,9.27,1:30.16,4,9.23,1:30.01,1,9.20,1:29.75,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,2
2,9.27,1:39.10,3,9.28,1:39.19,5,9.24,1:39.40,4,9.28,1:39.29,1,9.25,1:39.00,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,2
2,9.36,1:48.46,3,9.36,1:48.55,5,9.36,1:48.76,4,9.35,1:48.64,1,9.37,1:48.37,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,2
1,9.36,1:57.82,5,20.78,2:09.33,4,9.44,1:58.20,3,9.47,1:58.11,2,9.46,1:57.83,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,2
1,9.31,2:07.13,5,19.19,2:28.52,4,9.39,2:07.59,3,9.29,2:07.40,2,9.46,2:07.29,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,2
1,9.42,2:16.546,5,12.05,2:40.567,4,9.36,2:16.947,3,9.33,2:16.724,2,9.39,2:16.680,2009-2010,"ISU World Cup 2009/2010, KOR, Seoul",1500m,m,Quarterfinals,2
