START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,9.15,9.15,2,8.69,8.69,3,8.89,8.89,1,8.48,8.48,6,9.51,9.51,5,9.34,9.34,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,7
4,11.24,20.39,2,11.43,20.12,3,11.37,20.26,1,11.50,19.98,6,11.15,20.66,5,11.18,20.52,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,7
4,10.43,30.82,2,10.42,30.54,3,10.41,30.67,1,10.45,30.43,6,10.41,31.07,5,10.42,30.94,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,7
4,10.33,41.15,2,10.37,40.91,3,10.35,41.02,1,10.39,40.82,5,10.19,41.26,5,10.32,41.26,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,7
5,11.00,52.15,1,10.90,51.81,3,10.98,52.00,2,11.04,51.86,6,11.02,52.28,3,10.74,52.00,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,7
5,10.55,1:02.70,2,10.54,1:02.35,4,10.56,1:02.56,3,10.57,1:02.43,6,10.54,1:02.82,1,10.10,1:02.10,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,7
5,10.30,1:13.00,2,10.27,1:12.62,4,10.32,1:12.88,3,10.28,1:12.71,6,10.29,1:13.11,1,10.43,1:12.53,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,7
4,10.32,1:23.32,2,10.52,1:23.14,5,10.46,1:23.34,3,10.50,1:23.21,6,10.33,1:23.44,1,10.38,1:22.91,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,7
1,9.45,1:32.77,5,10.64,1:33.78,6,10.59,1:33.93,4,10.10,1:33.31,3,9.66,1:33.10,2,10.17,1:33.08,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,7
1,9.89,1:42.66,5,10.84,1:44.62,6,10.85,1:44.78,4,9.70,1:43.01,2,9.57,1:42.67,3,9.82,1:42.90,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,7
2,9.99,1:52.65,5,11.14,1:55.76,6,11.10,1:55.88,4,9.91,1:52.92,1,9.87,1:52.54,3,9.91,1:52.81,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,7
2,9.92,2:02.57,5,11.50,2:07.26,6,11.50,2:07.38,3,9.91,2:02.83,1,10.02,2:02.56,4,10.15,2:02.96,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,7
1,9.76,2:12.33,6,12.07,2:19.33,5,11.58,2:18.96,3,10.17,2:13.00,2,9.93,2:12.49,4,10.54,2:13.50,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,7
1,9.90,2:22.23,6,12.33,2:31.66,5,11.53,2:30.49,3,10.36,2:23.36,2,9.91,2:22.40,4,11.17,2:24.67,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,7
