START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,9.50,9.50,1,9.39,9.39,4,9.65,9.65,5,9.81,9.81,6,10.04,10.04,3,9.62,9.62,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,m,Heats,6
2,14.47,23.97,1,14.48,23.87,3,14.46,24.11,5,14.54,24.35,6,14.48,24.52,4,14.61,24.23,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,m,Heats,6
3,12.86,36.83,2,12.88,36.75,5,12.82,36.93,4,12.54,36.89,6,12.65,37.17,1,12.50,36.73,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,m,Heats,6
3,11.19,48.02,2,11.16,47.91,4,11.21,48.14,5,11.34,48.23,6,11.24,48.41,1,11.09,47.82,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,m,Heats,6
3,11.07,59.09,2,11.11,59.02,4,11.11,59.25,5,11.10,59.33,6,11.09,59.50,1,11.07,58.89,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,m,Heats,6
3,11.37,1:10.46,2,11.36,1:10.38,4,11.36,1:10.61,5,11.36,1:10.69,6,11.37,1:10.87,1,11.36,1:10.25,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,m,Heats,6
4,11.12,1:21.58,3,11.10,1:21.48,2,10.86,1:21.47,5,11.00,1:21.69,6,11.03,1:21.90,1,11.17,1:21.42,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,m,Heats,6
4,10.25,1:31.83,2,10.19,1:31.67,1,10.11,1:31.58,5,10.27,1:31.96,6,10.24,1:32.14,3,10.30,1:31.72,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,m,Heats,6
3,10.01,1:41.84,2,10.03,1:41.70,1,10.06,1:41.64,4,9.93,1:41.89,6,9.98,1:42.12,5,10.35,1:42.07,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,m,Heats,6
3,9.79,1:51.63,2,9.84,1:51.54,1,9.76,1:51.40,4,9.81,1:51.70,5,10.02,1:52.14,6,10.20,1:52.27,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,m,Heats,6
6,20.81,2:12.44,2,9.39,2:00.93,1,9.50,2:00.90,3,9.40,2:01.10,4,10.05,2:02.19,5,10.02,2:02.29,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,m,Heats,6
6,18.58,2:31.02,1,9.07,2:10.00,2,9.45,2:10.35,3,9.38,2:10.48,4,10.40,2:12.59,5,10.39,2:12.68,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,m,Heats,6
6,13.84,2:44.86,1,9.26,2:19.26,2,9.42,2:19.77,3,9.45,2:19.93,4,10.66,2:23.25,5,11.06,2:23.74,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,m,Heats,6
6,12.20,2:57.057,1,9.61,2:28.869,2,9.62,2:29.389,3,9.57,2:29.491,4,11.05,2:34.295,5,11.62,2:35.352,2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1500m,m,Heats,6
