START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,9.01,9.01,1,8.88,8.88,3,9.11,9.11,4,9.40,9.40,5,9.66,9.66,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,1
2,12.55,21.56,1,12.57,21.45,3,12.53,21.64,4,12.39,21.79,5,12.34,22.00,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,1
3,11.71,33.27,1,11.76,33.21,4,11.72,33.36,2,11.42,33.21,5,11.56,33.56,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,1
3,10.97,44.24,2,10.96,44.17,4,10.99,44.35,1,10.87,44.08,5,10.90,44.46,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,1
3,10.93,55.17,2,10.91,55.08,4,10.85,55.20,1,10.90,54.98,5,10.81,55.27,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,1
4,10.95,1:06.12,2,10.81,1:05.89,3,10.72,1:05.92,1,10.83,1:05.81,5,10.98,1:06.25,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,1
4,9.81,1:15.93,1,9.67,1:15.56,3,9.91,1:15.83,2,9.86,1:15.67,5,9.82,1:16.07,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,1
4,9.76,1:25.69,1,9.86,1:25.42,3,9.80,1:25.63,2,9.85,1:25.52,5,9.76,1:25.83,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,1
4,9.88,1:35.57,1,9.86,1:35.28,3,9.85,1:35.48,2,9.86,1:35.38,5,9.84,1:35.67,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,1
4,9.80,1:45.37,1,9.96,1:45.24,2,9.86,1:45.34,3,9.97,1:45.35,5,9.94,1:45.61,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,1
3,9.59,1:54.96,2,9.72,1:54.96,1,9.45,1:54.79,4,10.02,1:55.37,5,9.85,1:55.46,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,1
2,9.17,2:04.13,3,9.28,2:04.24,1,9.29,2:04.08,5,11.42,2:06.79,4,10.05,2:05.51,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,1
1,9.58,2:13.71,3,9.68,2:13.92,2,9.72,2:13.80,5,17.31,2:24.10,4,10.67,2:16.18,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,1
1,9.59,2:23.301,2,9.50,2:23.411,3,9.62,2:23.416,5,17.88,2:41.975,4,10.87,2:27.050,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,Heats,1
