START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
0,7.665,7.665,0,8.172,8.172,0,8.051,8.051,0,8.770,8.770,0,8.348,8.348,2006-2007,"2007 ISU World Championships, Italy",1500M,w,Heats,7
0,10.500,18.166,0,10.465,18.637,0,10.336,18.387,0,10.242,19.012,0,10.465,18.813,2006-2007,"2007 ISU World Championships, Italy",1500M,w,Heats,7
0,10.661,28.827,0,10.127,28.764,0,10.428,28.814,0,10.361,29.372,0,10.302,29.115,2006-2007,"2007 ISU World Championships, Italy",1500M,w,Heats,7
0,10.316,39.143,0,10.478,39.242,0,10.317,39.131,0,10.321,39.693,0,10.485,39.599,2006-2007,"2007 ISU World Championships, Italy",1500M,w,Heats,7
0,10.601,49.744,0,10.595,49.837,0,10.599,49.730,0,10.562,50.255,0,10.351,49.950,2006-2007,"2007 ISU World Championships, Italy",1500M,w,Heats,7
0,10.855,1:00.599,0,10.807,1:00.644,0,10.800,1:00.530,0,10.947,1:01.202,0,10.941,1:00.891,2006-2007,"2007 ISU World Championships, Italy",1500M,w,Heats,7
0,10.715,1:11.313,0,10.718,1:11.362,0,10.830,1:11.360,0,10.616,1:11.817,0,10.718,1:11.609,2006-2007,"2007 ISU World Championships, Italy",1500M,w,Heats,7
0,10.987,1:22.301,0,10.941,1:22.303,0,10.914,1:22.274,0,10.883,1:22.701,0,10.976,1:22.585,2006-2007,"2007 ISU World Championships, Italy",1500M,w,Heats,7
0,11.023,1:33.323,0,11.008,1:33.311,0,11.038,1:33.311,0,11.250,1:33.951,0,11.164,1:33.749,2006-2007,"2007 ISU World Championships, Italy",1500M,w,Heats,7
0,10.660,1:43.983,0,10.504,1:43.815,0,10.517,1:43.828,0,10.315,1:44.266,0,11.002,1:44.751,2006-2007,"2007 ISU World Championships, Italy",1500M,w,Heats,7
0,10.947,1:54.930,0,10.671,1:54.486,0,10.522,1:54.350,0,10.432,1:54.697,0,11.473,1:56.224,2006-2007,"2007 ISU World Championships, Italy",1500M,w,Heats,7
0,11.245,2:06.175,0,10.666,2:05.153,0,10.596,2:04.946,0,9.798,2:04.496,0,11.983,2:08.207,2006-2007,"2007 ISU World Championships, Italy",1500M,w,Heats,7
0,11.681,2:17.857,0,10.740,2:15.893,0,10.686,2:15.632,0,9.981,2:14.477,0,12.105,2:20.311,2006-2007,"2007 ISU World Championships, Italy",1500M,w,Heats,7
0,11.807,2:29.664,0,11.231,2:27.124,0,11.039,2:26.671,0,10.792,2:25.269,0,13.067,2:33.379,2006-2007,"2007 ISU World Championships, Italy",1500M,w,Heats,7
