START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,8.68,8.68,5,9.11,9.11,4,8.89,8.89,3,8.77,8.77,2,8.69,8.69,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,5
3,12.49,21.17,2,12.05,21.16,5,12.52,21.41,4,12.50,21.27,1,12.42,21.11,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,5
2,10.88,32.05,1,10.88,32.04,5,11.11,32.52,4,11.12,32.39,3,11.18,32.29,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,5
1,10.21,42.26,2,10.35,42.39,5,10.31,42.83,4,10.29,42.68,3,10.32,42.61,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,5
1,10.62,52.88,2,10.57,52.96,5,10.44,53.27,4,10.48,53.16,3,10.44,53.05,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,5
1,10.96,1:03.84,2,11.00,1:03.96,5,11.00,1:04.27,4,10.99,1:04.15,3,11.03,1:04.08,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,5
1,10.78,1:14.62,2,10.76,1:14.72,4,10.65,1:14.92,3,10.63,1:14.78,5,10.84,1:14.92,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,5
1,10.61,1:25.23,2,10.61,1:25.33,4,10.64,1:25.56,3,10.64,1:25.42,5,10.85,1:25.77,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,5
1,10.57,1:35.80,2,10.58,1:35.91,4,10.57,1:36.13,3,10.58,1:36.00,5,10.64,1:36.41,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,5
1,10.59,1:46.39,2,10.58,1:46.49,4,10.58,1:46.71,3,10.57,1:46.57,5,10.81,1:47.22,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,5
1,10.46,1:56.85,2,10.47,1:56.96,4,10.51,1:57.22,3,10.40,1:56.97,5,11.63,1:58.85,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,5
1,10.02,2:06.87,3,10.28,2:07.24,4,10.53,2:07.75,2,10.01,2:06.98,5,12.78,2:11.63,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,5
1,10.04,2:16.91,3,10.43,2:17.67,4,10.95,2:18.70,2,10.03,2:17.01,5,13.11,2:24.74,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,5
1,10.12,2:27.022,3,11.24,2:28.906,4,11.61,2:30.307,2,10.29,2:27.293,5,13.02,2:37.759,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,5
