START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,10.050,10.050,3,10.290,10.290,4,10.510,10.510,5,10.890,10.890,2,10.140,10.140,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,w,Heats,4
2,13.930,23.980,3,13.950,24.250,4,13.820,24.330,5,13.670,24.560,1,13.760,23.910,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,w,Heats,4
2,13.160,37.150,3,13.100,37.350,4,13.060,37.400,5,13.110,37.680,1,13.140,37.050,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,w,Heats,4
2,12.770,49.920,3,12.730,50.080,4,12.750,50.150,5,12.760,50.440,1,12.750,49.800,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,w,Heats,4
1,12.330,1:02.260,3,12.350,1:02.430,4,12.550,1:02.700,5,12.540,1:02.980,2,12.490,1:02.290,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,w,Heats,4
3,10.950,1:13.210,1,10.580,1:13.020,4,10.670,1:13.380,5,10.550,1:13.540,2,10.790,1:13.090,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,w,Heats,4
3,11.470,1:24.690,1,11.520,1:24.540,4,11.440,1:24.830,5,11.350,1:24.900,2,11.460,1:24.550,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,w,Heats,4
3,11.760,1:36.450,1,11.780,1:36.330,4,11.800,1:36.630,5,11.780,1:36.680,2,11.820,1:36.380,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,w,Heats,4
1,10.240,1:46.690,2,10.630,1:46.960,4,10.610,1:47.240,5,10.610,1:47.290,3,10.640,1:47.030,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,w,Heats,4
1,10.460,1:57.150,2,10.360,1:57.320,5,10.320,1:57.570,4,10.190,1:57.490,3,10.330,1:57.360,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,w,Heats,4
1,10.620,2:07.780,3,10.640,2:07.960,5,10.640,2:08.220,4,10.710,2:08.210,2,10.600,2:07.960,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,w,Heats,4
1,10.500,2:18.280,4,10.620,2:18.580,3,10.340,2:18.560,5,10.450,2:18.660,2,10.500,2:18.470,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,w,Heats,4
3,10.700,2:28.980,4,10.620,2:29.210,2,9.860,2:28.420,1,9.620,2:28.280,5,10.840,2:29.310,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,w,Heats,4
3,10.740,2:39.730,4,10.670,2:39.890,2,9.970,2:38.400,1,10.010,2:38.290,5,10.850,2:40.160,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,w,Heats,4
