START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
2,12.92,12.92,7,13.76,13.76,5,13.37,13.37,3,13.04,13.04,1,12.85,12.85,6,13.51,13.51,4,13.34,13.34,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Semifinals,2
5,17.59,30.51,7,17.17,30.93,1,16.65,30.02,2,17.13,30.17,4,17.48,30.33,3,16.67,30.18,6,17.36,30.70,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Semifinals,2
6,14.91,45.42,7,14.71,45.64,1,14.79,44.81,3,14.99,45.16,4,14.96,45.29,2,14.76,44.94,5,14.68,45.38,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Semifinals,2
6,12.74,58.16,7,12.68,58.32,3,12.92,57.73,2,12.52,57.68,5,12.73,58.02,4,12.94,57.88,1,12.16,57.54,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Semifinals,2
7,11.36,1:09.52,1,10.64,1:08.96,2,11.36,1:09.09,4,11.47,1:09.15,6,11.37,1:09.39,3,11.25,1:09.13,5,11.63,1:09.17,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Semifinals,2
7,10.35,1:19.87,1,10.21,1:19.17,3,10.33,1:19.42,4,10.30,1:19.45,6,10.30,1:19.69,2,10.16,1:19.29,5,10.39,1:19.56,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Semifinals,2
7,10.10,1:29.97,2,10.07,1:29.24,4,10.17,1:29.59,1,9.72,1:29.17,6,10.17,1:29.86,3,10.18,1:29.47,5,10.14,1:29.70,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Semifinals,2
6,9.83,1:39.80,2,10.15,1:39.39,4,10.02,1:39.61,1,10.19,1:39.36,7,9.95,1:39.81,3,10.07,1:39.54,5,9.96,1:39.66,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Semifinals,2
6,9.78,1:49.58,2,9.74,1:49.13,5,9.87,1:49.48,1,9.76,1:49.12,7,9.87,1:49.68,4,9.79,1:49.33,3,9.60,1:49.26,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Semifinals,2
6,9.61,1:59.19,2,9.70,1:58.83,5,9.60,1:59.08,1,9.60,1:58.72,7,9.62,1:59.30,4,9.64,1:58.97,3,9.64,1:58.90,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Semifinals,2
6,9.89,2:09.08,2,9.85,2:08.68,5,9.90,2:08.98,1,9.87,2:08.59,7,9.87,2:09.17,4,9.88,2:08.85,3,9.83,2:08.73,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Semifinals,2
6,9.59,2:18.67,3,9.64,2:18.32,5,9.43,2:18.41,1,9.68,2:18.27,7,9.66,2:18.83,4,9.52,2:18.37,2,9.55,2:18.28,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Semifinals,2
2,9.25,2:27.92,6,10.14,2:28.46,3,9.63,2:28.04,1,9.58,2:27.85,7,9.75,2:28.58,4,9.90,2:28.27,5,10.12,2:28.40,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Semifinals,2
2,9.73,2:37.65,0,,PHOTO,3,9.81,2:37.85,1,9.73,2:37.58,7,9.82,2:38.378,5,,2:37.938,6,9.77,2:38.149,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Semifinals,2
