START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
4,10.97,10.97,5,11.16,11.16,1,10.50,10.50,3,10.65,10.65,2,10.58,10.58,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,m,Rep.Quarterfinals,2
4,13.29,24.26,5,13.24,24.40,1,13.28,23.78,2,13.28,23.93,3,13.42,24.00,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,m,Rep.Quarterfinals,2
4,12.47,36.73,5,12.48,36.88,1,12.52,36.30,2,12.48,36.41,3,12.55,36.55,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,m,Rep.Quarterfinals,2
4,11.57,48.30,5,11.65,48.53,3,11.88,48.18,1,11.63,48.04,2,11.59,48.14,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,m,Rep.Quarterfinals,2
1,10.46,58.76,4,10.36,58.89,2,10.63,58.81,3,10.80,58.84,5,10.79,58.93,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,m,Rep.Quarterfinals,2
2,9.88,1:08.64,4,9.93,1:08.82,1,9.75,1:08.56,3,9.87,1:08.71,5,10.01,1:08.94,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,m,Rep.Quarterfinals,2
1,10.08,1:18.72,4,10.19,1:19.01,2,10.20,1:18.76,3,10.17,1:18.88,5,10.22,1:19.16,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,m,Rep.Quarterfinals,2
1,9.72,1:28.44,3,9.68,1:28.69,2,9.84,1:28.60,4,9.95,1:28.83,5,9.76,1:28.92,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,m,Rep.Quarterfinals,2
1,9.67,1:38.11,3,9.62,1:38.31,2,9.58,1:38.18,4,9.57,1:38.40,5,9.59,1:38.51,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,m,Rep.Quarterfinals,2
1,9.64,1:47.75,3,9.65,1:47.96,2,9.68,1:47.86,4,9.66,1:48.06,5,9.67,1:48.18,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,m,Rep.Quarterfinals,2
1,9.55,1:57.30,2,9.43,1:57.39,3,9.55,1:57.41,4,9.50,1:57.56,5,9.57,1:57.75,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,m,Rep.Quarterfinals,2
2,9.25,2:06.55,1,9.02,2:06.41,3,9.17,2:06.58,4,9.15,2:06.71,5,9.65,2:07.40,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,m,Rep.Quarterfinals,2
3,9.15,2:15.70,1,9.06,2:15.47,2,8.99,2:15.57,4,9.12,2:15.83,5,10.24,2:17.64,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,m,Rep.Quarterfinals,2
4,9.34,2:25.041,1,8.97,2:24.44,2,8.99,2:24.56,3,8.96,2:24.794,5,11.17,2:28.819,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,m,Rep.Quarterfinals,2
