START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
4,11.16,11.16,1,10.58,10.58,2,10.65,10.65,3,10.74,10.74,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,FinalB,1
4,13.69,24.85,1,13.66,24.24,3,13.79,24.44,2,13.68,24.43,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,FinalB,1
4,12.40,37.25,2,12.88,37.13,3,12.71,37.15,1,12.68,37.11,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,FinalB,1
1,9.55,46.81,2,10.06,47.20,4,10.55,47.71,3,10.32,47.44,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,FinalB,1
1,8.72,55.53,2,9.83,57.03,4,9.47,57.18,3,9.64,57.08,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,FinalB,1
1,9.19,1:04.73,2,9.90,1:06.93,4,9.84,1:07.03,3,9.88,1:06.97,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,FinalB,1
1,9.50,1:14.23,2,9.51,1:16.44,4,9.68,1:16.71,3,9.52,1:16.49,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,FinalB,1
1,9.64,1:23.87,2,9.63,1:26.08,4,9.62,1:26.34,3,9.79,1:26.28,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,FinalB,1
1,9.64,1:33.51,2,9.45,1:35.53,4,9.58,1:35.93,3,9.60,1:35.89,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,FinalB,1
1,9.87,1:43.39,2,9.54,1:45.08,4,9.45,1:45.38,3,9.25,1:45.14,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,FinalB,1
1,9.86,1:53.25,4,9.56,1:54.64,2,9.05,1:54.44,3,9.29,1:54.44,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,FinalB,1
1,9.64,2:02.90,4,10.07,2:04.72,3,9.39,2:03.83,2,9.31,2:03.75,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,FinalB,1
1,10.05,2:12.96,4,11.65,2:16.37,2,9.33,2:13.16,3,9.56,2:13.31,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,FinalB,1
1,10.15,2:23.101,4,13.10,2:29.469,2,10.08,2:23.238,3,10.89,2:24.191,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,FinalB,1
