START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,8.249,8.249,5,8.434,8.434,6,8.784,8.784,2,7.971,7.971,3,8.016,8.016,1,7.883,7.883,2007-2008,"2008 ISU World Championships, Korea",1500m,w,Semifinals,1
5,11.113,19.362,4,10.880,19.314,6,10.639,19.423,2,11.233,19.204,3,11.198,19.214,1,11.100,18.982,2007-2008,"2008 ISU World Championships, Korea",1500m,w,Semifinals,1
4,10.697,30.059,2,10.576,29.889,6,10.913,30.336,3,10.794,29.998,5,10.904,30.118,1,10.735,29.718,2007-2008,"2008 ISU World Championships, Korea",1500m,w,Semifinals,1
1,11.432,41.491,2,11.628,41.518,6,11.642,41.978,5,11.748,41.746,3,11.433,41.552,4,11.883,41.600,2007-2008,"2008 ISU World Championships, Korea",1500m,w,Semifinals,1
4,10.359,51.850,2,10.145,51.663,6,10.180,52.158,5,10.189,51.934,1,9.903,51.455,3,10.121,51.721,2007-2008,"2008 ISU World Championships, Korea",1500m,w,Semifinals,1
4,10.318,1:02.168,3,10.504,1:02.167,6,10.330,1:02.488,5,10.430,1:02.365,1,10.482,1:01.937,2,10.389,1:02.110,2007-2008,"2008 ISU World Championships, Korea",1500m,w,Semifinals,1
5,11.306,1:13.474,2,11.152,1:13.319,3,10.903,1:13.390,4,11.028,1:13.393,6,11.666,1:13.603,1,11.144,1:13.254,2007-2008,"2008 ISU World Championships, Korea",1500m,w,Semifinals,1
5,10.756,1:24.230,3,10.753,1:24.072,6,10.857,1:24.247,4,10.779,1:24.171,2,10.427,1:24.030,1,10.773,1:24.027,2007-2008,"2008 ISU World Championships, Korea",1500m,w,Semifinals,1
4,10.369,1:34.600,2,10.271,1:34.343,6,10.482,1:34.729,5,10.460,1:34.632,1,10.162,1:34.191,3,10.405,1:34.432,2007-2008,"2008 ISU World Championships, Korea",1500m,w,Semifinals,1
4,9.647,1:44.247,3,9.809,1:44.152,5,9.688,1:44.417,6,10.088,1:44.719,1,9.889,1:44.081,2,9.650,1:44.082,2007-2008,"2008 ISU World Championships, Korea",1500m,w,Semifinals,1
3,9.641,1:53.888,4,9.744,1:53.896,5,9.999,1:54.416,6,10.034,1:54.753,1,9.572,1:53.652,2,9.580,1:53.661,2007-2008,"2008 ISU World Championships, Korea",1500m,w,Semifinals,1
2,9.716,2:03.604,4,10.296,2:04.192,5,10.365,2:04.781,6,10.581,2:05.334,1,9.898,2:03.550,3,10.111,2:03.772,2007-2008,"2008 ISU World Championships, Korea",1500m,w,Semifinals,1
2,9.952,2:13.557,4,10.326,2:14.518,5,10.615,2:15.396,6,11.057,2:16.391,1,9.952,2:13.502,3,9.803,2:13.575,2007-2008,"2008 ISU World Championships, Korea",1500m,w,Semifinals,1
1,10.003,2:23.560,4,11.456,2:25.974,5,11.601,2:26.997,6,11.388,2:27.779,2,10.125,2:23.627,3,10.105,2:23.680,2007-2008,"2008 ISU World Championships, Korea",1500m,w,Semifinals,1
