START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,10.16,,5,10.56,10.56,6,10.62,10.62,4,10.40,10.40,2,10.26,10.26,3,10.30,,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,5
1,13.64,,6,14.05,24.61,5,13.76,24.38,4,13.81,24.21,3,13.80,24.06,2,13.62,,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,5
1,13.02,,6,12.89,37.50,5,12.99,37.37,4,13.02,37.23,3,13.05,37.11,2,13.05,,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,5
1,13.32,,6,13.30,50.80,5,13.29,50.66,4,13.29,50.52,3,13.32,50.43,2,13.32,,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,5
1,13.07,,6,13.04,1:03.84,5,13.03,1:03.69,4,13.03,1:03.55,2,12.88,1:03.31,3,13.15,,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,5
1,12.85,,6,12.90,1:16.74,5,12.90,1:16.59,4,12.87,1:16.42,2,12.86,1:16.17,3,12.84,,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,5
2,12.05,,6,11.84,1:28.58,4,11.75,1:28.34,5,11.94,1:28.36,1,11.72,1:27.89,3,11.96,,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,5
2,10.65,,6,10.57,1:39.15,4,10.53,1:38.87,5,10.66,1:39.02,1,10.79,1:38.68,3,10.53,,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,5
4,10.38,,5,10.09,1:49.24,3,10.20,1:49.07,6,10.26,1:49.28,1,10.21,1:48.89,2,10.21,,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,5
1,9.68,,3,9.90,1:59.14,2,10.02,1:59.09,5,20.43,2:09.71,6,23.94,2:12.83,4,10.17,,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,5
1,9.76,,3,9.83,2:08.97,2,9.71,2:08.80,6,21.62,2:31.33,5,17.70,2:30.53,4,9.95,,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,5
1,10.12,,3,9.93,2:18.90,2,10.03,2:18.83,6,12.97,2:44.30,5,11.66,2:42.19,4,9.81,,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,5
1,10.09,,4,10.50,2:29.40,2,10.02,2:28.85,6,12.08,2:56.38,5,10.91,2:53.10,3,10.26,,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,5
2,10.10,,4,10.28,2:39.68,1,9.88,2:38.73,5,12.52,3:08.90,6,17.57,3:10.67,3,10.13,,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,5
