START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,11.34,11.34,4,11.48,11.48,5,11.67,11.67,6,11.82,11.82,2,11.26,11.26,1,11.14,11.14,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,w,Quarterfinals,4
2,16.36,27.70,5,16.64,28.12,6,16.61,28.28,1,15.74,27.56,4,16.57,27.83,3,16.59,27.73,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,w,Quarterfinals,4
2,13.72,41.42,6,13.83,41.95,5,13.63,41.91,1,13.71,41.27,4,13.87,41.70,3,13.84,41.57,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,w,Quarterfinals,4
2,12.45,53.87,6,12.31,54.26,5,12.34,54.25,1,12.46,53.73,4,12.42,54.12,3,12.43,54.00,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,w,Quarterfinals,4
2,10.92,1:04.79,4,10.73,1:04.99,5,10.81,1:05.06,1,10.95,1:04.68,6,11.08,1:05.20,3,10.89,1:04.89,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,w,Quarterfinals,4
2,10.75,1:15.54,3,10.66,1:15.65,5,10.69,1:15.75,1,10.75,1:15.43,6,10.80,1:16.00,4,10.78,1:15.67,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,w,Quarterfinals,4
4,10.24,1:25.78,1,9.89,1:25.54,3,9.93,1:25.68,2,10.19,1:25.62,6,10.27,1:26.27,5,10.25,1:25.92,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,w,Quarterfinals,4
4,10.17,1:35.95,2,10.21,1:35.75,1,9.90,1:35.58,3,10.23,1:35.85,6,10.37,1:36.64,5,10.14,1:36.06,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,w,Quarterfinals,4
4,10.43,1:46.38,2,10.42,1:46.17,1,10.45,1:46.03,3,10.42,1:46.27,6,10.97,1:47.61,5,10.43,1:46.49,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,w,Quarterfinals,4
4,10.33,1:56.71,1,10.11,1:56.28,2,10.36,1:56.39,3,10.24,1:56.51,6,11.69,1:59.30,5,10.47,1:56.96,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,w,Quarterfinals,4
4,9.90,2:06.61,1,9.92,2:06.20,2,9.95,2:06.34,3,9.94,2:06.45,6,12.24,2:11.54,5,10.50,2:07.46,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,w,Quarterfinals,4
4,9.91,2:16.52,1,9.87,2:16.07,2,9.85,2:16.19,3,9.85,2:16.30,6,12.84,2:24.38,5,11.01,2:18.47,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,w,Quarterfinals,4
4,10.28,2:26.80,1,9.95,2:26.02,2,9.96,2:26.15,3,9.97,2:26.27,6,14.14,2:38.52,5,11.55,2:30.02,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,w,Quarterfinals,4
4,11.07,2:37.87,1,10.16,2:36.18,2,10.13,2:36.28,3,10.20,2:36.47,6,13.44,2:51.96,5,12.13,2:42.15,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,w,Quarterfinals,4
