START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,9.200,9.200,2,9.240,9.240,4,9.510,9.510,5,9.680,9.680,3,9.300,9.300,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Heats,3
3,13.590,22.790,2,13.550,22.790,1,13.130,22.640,5,13.290,22.970,4,13.580,22.880,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Heats,3
1,12.880,35.680,2,12.980,35.780,5,13.560,36.210,4,13.080,36.050,3,13.070,35.950,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Heats,3
1,12.710,48.390,2,12.770,48.550,5,12.510,48.730,4,12.600,48.650,3,12.620,48.580,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Heats,3
1,12.650,1:01.040,2,12.530,1:01.080,3,12.350,1:01.080,5,12.760,1:01.410,4,12.770,1:01.350,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Heats,3
3,11.480,1:12.530,2,11.380,1:12.470,1,11.310,1:12.390,5,11.290,1:12.710,4,11.350,1:12.710,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Heats,3
3,12.250,1:24.780,1,12.210,1:24.680,1,12.280,1:24.680,5,12.220,1:24.940,4,12.160,1:24.870,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Heats,3
3,10.510,1:35.290,1,10.570,1:35.260,2,10.600,1:35.280,5,10.530,1:35.470,4,10.510,1:35.390,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Heats,3
1,9.970,1:45.270,3,10.190,1:45.450,2,10.050,1:45.330,4,10.060,1:45.540,5,10.300,1:45.690,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Heats,3
1,9.570,1:54.850,3,9.660,1:55.110,2,9.680,1:55.020,4,9.740,1:55.290,5,9.720,1:55.420,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Heats,3
1,9.370,2:04.230,3,9.930,2:05.040,2,9.850,2:04.870,4,9.890,2:05.180,5,9.830,2:05.250,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Heats,3
1,9.530,2:13.760,3,9.860,2:14.900,4,10.140,2:15.010,2,9.620,2:14.810,5,9.980,2:15.240,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Heats,3
1,9.860,2:23.620,3,9.960,2:24.870,5,10.720,2:25.740,2,9.670,2:24.480,4,10.320,2:25.570,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Heats,3
1,10.540,2:34.170,3,10.550,2:35.420,5,13.050,2:38.800,2,10.270,2:34.750,4,10.840,2:36.410,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Heats,3
