START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
5,11.28,11.28,1,10.87,10.87,3,10.93,10.93,4,11.12,11.12,2,10.89,10.89,6,11.38,11.38,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,10
5,14.94,26.22,1,14.69,25.56,2,14.79,25.72,3,14.78,25.90,4,15.16,26.05,6,15.00,26.38,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,10
5,12.52,38.74,1,12.62,38.18,2,12.59,38.31,3,12.52,38.42,4,12.48,38.53,6,12.50,38.88,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,10
5,13.15,51.89,4,13.50,51.68,1,13.13,51.44,2,13.07,51.49,3,13.10,51.63,6,13.11,51.99,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,10
5,13.42,1:05.31,4,13.49,1:05.17,1,13.37,1:04.81,2,13.39,1:04.88,3,13.42,1:05.05,6,13.40,1:05.39,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,10
6,13.64,1:18.95,5,13.60,1:18.77,1,13.61,1:18.42,2,13.59,1:18.47,4,13.53,1:18.58,3,13.09,1:18.48,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,10
6,11.51,1:30.46,5,11.53,1:30.30,2,11.56,1:29.98,3,11.63,1:30.10,4,11.59,1:30.17,1,11.39,1:29.87,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,10
6,11.96,1:42.42,5,11.92,1:42.22,2,11.90,1:41.88,3,11.89,1:41.99,4,11.91,1:42.08,1,11.93,1:41.80,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,10
6,11.57,1:53.99,5,11.64,1:53.86,1,11.44,1:53.32,3,11.58,1:53.57,4,11.58,1:53.66,2,11.64,1:53.44,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,10
6,10.82,2:04.81,5,10.83,2:04.69,1,10.90,2:04.22,3,10.84,2:04.41,4,10.87,2:04.53,2,10.87,2:04.31,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,10
6,10.38,2:15.19,5,10.50,2:15.19,1,10.42,2:14.64,3,10.45,2:14.86,4,10.43,2:14.96,2,10.45,2:14.76,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,10
5,9.90,2:25.09,6,10.42,2:25.61,1,10.28,2:24.92,3,10.12,2:24.98,4,10.06,2:25.02,2,10.19,2:24.95,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,10
2,9.66,2:34.75,6,10.51,2:36.12,5,10.27,2:35.19,4,10.00,2:34.98,3,9.79,2:34.81,1,9.70,2:34.65,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,10
1,9.50,2:44.245,6,10.94,2:47.055,5,10.39,2:45.577,4,9.92,2:44.899,3,9.83,2:44.633,2,9.81,2:44.457,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Heats,10
