START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,9.183,9.183,1,9.117,9.117,6,9.913,9.913,4,9.667,9.667,3,9.594,9.594,5,9.777,9.777,2002-2003,"2003 World Championships, Poland",1500M,w,Heats,2
3,12.074,21.256,1,11.988,21.105,6,13.079,22.992,2,11.589,21.255,4,11.870,21.464,5,11.805,21.582,2002-2003,"2003 World Championships, Poland",1500M,w,Heats,2
3,10.984,32.240,1,11.024,32.128,6,12.916,35.908,2,10.924,32.179,4,11.020,32.483,5,11.037,32.619,2002-2003,"2003 World Championships, Poland",1500M,w,Heats,2
2,11.163,43.403,1,11.102,43.230,6,12.706,48.613,3,11.248,43.426,4,11.089,43.572,5,11.062,43.680,2002-2003,"2003 World Championships, Poland",1500M,w,Heats,2
3,11.298,54.700,2,11.432,54.662,6,12.612,1:01.224,1,11.200,54.626,4,11.278,54.850,5,11.338,55.017,2002-2003,"2003 World Championships, Poland",1500M,w,Heats,2
3,11.428,1:06.128,1,11.304,1:05.965,6,13.000,1:14.224,2,11.457,1:06.083,4,11.414,1:06.263,5,11.403,1:06.419,2002-2003,"2003 World Championships, Poland",1500M,w,Heats,2
2,11.385,1:17.512,1,11.434,1:17.398,6,14.646,1:28.870,3,11.436,1:17.519,4,11.403,1:17.666,5,11.292,1:17.710,2002-2003,"2003 World Championships, Poland",1500M,w,Heats,2
3,10.554,1:28.066,5,11.122,1:28.520,6,13.885,1:42.754,2,10.482,1:28.000,4,10.581,1:28.247,1,10.242,1:27.952,2002-2003,"2003 World Championships, Poland",1500M,w,Heats,2
3,10.126,1:38.192,5,11.107,1:39.627,6,13.789,1:56.542,2,10.166,1:38.166,4,10.028,1:38.274,1,10.151,1:38.103,2002-2003,"2003 World Championships, Poland",1500M,w,Heats,2
3,10.205,1:48.396,5,11.206,1:50.833,6,14.847,2:11.388,2,10.194,1:48.359,4,10.210,1:48.484,1,10.233,1:48.336,2002-2003,"2003 World Championships, Poland",1500M,w,Heats,2
3,10.268,1:58.663,5,11.491,2:02.324,6,14.166,2:25.554,2,10.301,1:58.660,4,10.361,1:58.845,1,10.185,1:58.521,2002-2003,"2003 World Championships, Poland",1500M,w,Heats,2
3,10.332,2:08.995,5,11.801,2:14.124,6,14.509,2:40.062,2,10.317,2:08.977,4,10.248,2:09.093,1,10.272,2:08.792,2002-2003,"2003 World Championships, Poland",1500M,w,Heats,2
4,10.715,2:19.710,5,12.226,2:26.349,6,14.480,2:54.542,1,10.200,2:19.176,3,10.238,2:19.330,2,10.385,2:19.177,2002-2003,"2003 World Championships, Poland",1500M,w,Heats,2
4,11.58,2:31.287,5,12.45,2:38.799,6,14.95,3:09.490,3,10.54,2:29.716,2,10.39,2:29.714,1,10.43,2:29.605,2002-2003,"2003 World Championships, Poland",1500M,w,Heats,2
