START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,9.62,9.62,3,9.79,9.79,6,10.15,,4,9.86,9.86,1,9.62,9.62,5,10.03,10.03,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,Quarterfinals,6
2,14.86,24.48,3,14.84,24.63,6,14.92,,4,14.93,24.79,1,14.72,24.34,5,14.90,24.93,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,Quarterfinals,6
2,13.77,38.25,3,13.80,38.43,6,13.80,,4,13.80,38.59,1,13.76,38.10,5,13.79,38.72,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,Quarterfinals,6
2,13.09,51.34,4,13.08,51.51,4,12.64,,6,12.96,51.55,1,13.13,51.23,3,12.67,51.39,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,Quarterfinals,6
3,11.12,1:02.46,5,11.17,1:02.68,1,10.70,,6,11.41,1:02.96,4,11.27,1:02.50,2,10.96,1:02.35,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,Quarterfinals,6
1,10.07,1:12.53,5,10.37,1:13.05,2,10.45,,6,10.21,1:13.17,4,10.43,1:12.93,3,10.44,1:12.79,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,Quarterfinals,6
2,10.38,1:22.91,5,10.19,1:23.24,1,10.14,,6,10.20,1:23.37,4,10.20,1:23.13,3,10.21,1:23.00,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,Quarterfinals,6
5,10.14,1:33.05,4,9.79,1:33.03,2,9.98,,6,9.84,1:33.21,3,9.81,1:32.94,1,9.68,1:32.68,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,Quarterfinals,6
5,9.61,1:42.66,4,9.52,1:42.55,1,9.46,,6,9.57,1:42.78,3,9.52,1:42.46,2,9.57,1:42.25,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,Quarterfinals,6
5,9.17,1:51.83,4,9.19,1:51.74,1,9.23,,6,9.18,1:51.96,3,9.18,1:51.64,2,9.30,1:51.55,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,Quarterfinals,6
5,9.29,2:01.12,4,9.22,2:00.96,1,9.18,,6,9.26,2:01.22,3,9.22,2:00.86,2,9.22,2:00.77,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,Quarterfinals,6
5,9.12,2:10.24,4,9.03,2:09.99,2,9.21,,6,9.17,2:10.39,3,9.02,2:09.88,1,9.04,2:09.81,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,Quarterfinals,6
4,22.96,2:33.20,5,29.85,2:39.84,6,30.98,,3,9.17,2:19.56,2,9.09,2:18.97,1,9.14,2:18.95,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,Quarterfinals,6
6,36.59,3:09.79,4,17.38,2:57.22,5,16.57,,3,9.40,2:28.96,1,9.24,2:28.21,2,9.36,2:28.31,2018-2019,ISU World Short Track Championships 2019 - Sofia (BUL),1500m,m,Quarterfinals,6
