START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,8.80,8.80,1,8.66,8.66,4,8.88,8.88,6,9.05,9.05,2,8.77,8.77,5,8.98,8.98,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Semifinals,2
4,12.82,21.62,2,12.65,21.31,5,12.88,21.76,6,12.83,21.88,1,12.44,21.21,3,12.47,21.45,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Semifinals,2
4,12.79,34.41,2,12.83,34.14,5,12.81,34.57,6,12.80,34.68,1,12.78,33.99,3,12.84,34.29,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Semifinals,2
4,12.90,47.31,2,13.01,47.15,3,12.70,47.27,6,12.70,47.38,1,13.06,47.05,5,13.03,47.32,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Semifinals,2
3,10.88,58.19,5,11.32,58.47,1,10.83,58.10,2,10.80,58.18,4,11.30,58.35,6,11.33,58.65,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Semifinals,2
5,11.33,1:09.52,2,10.61,1:09.08,3,11.09,1:09.19,4,11.22,1:09.40,6,11.35,1:09.70,1,10.42,1:09.07,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Semifinals,2
5,10.06,1:19.58,1,10.09,1:19.17,3,10.18,1:19.37,4,10.06,1:19.46,6,10.03,1:19.73,2,10.19,1:19.26,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Semifinals,2
5,10.98,1:30.56,1,10.90,1:30.07,3,10.96,1:30.33,4,11.02,1:30.48,6,11.03,1:30.76,2,10.97,1:30.23,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Semifinals,2
5,11.02,1:41.58,1,11.14,1:41.21,2,10.96,1:41.29,4,10.96,1:41.44,6,10.96,1:41.72,3,11.09,1:41.32,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Semifinals,2
6,9.92,1:51.50,2,9.96,1:51.17,1,9.61,1:50.90,4,9.86,1:51.30,5,9.61,1:51.33,3,9.95,1:51.27,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Semifinals,2
6,9.60,2:01.10,2,9.51,2:00.68,1,9.54,2:00.44,4,9.57,2:00.87,5,9.71,2:01.04,3,9.51,2:00.78,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Semifinals,2
6,9.63,2:10.73,2,9.57,2:10.25,1,9.49,2:09.93,4,9.61,2:10.48,5,9.58,2:10.62,3,9.60,2:10.38,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Semifinals,2
6,9.73,2:20.46,2,9.71,2:19.96,1,9.51,2:19.44,4,9.67,2:20.15,5,9.76,2:20.38,3,9.68,2:20.06,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Semifinals,2
5,9.77,2:30.224,2,9.87,2:29.827,1,9.82,2:29.257,4,9.86,2:30.007,6,10.04,2:30.418,3,9.88,2:29.939,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,w,Semifinals,2
