START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
6,12.06,12.06,4,11.61,11.61,2,11.56,11.56,5,11.83,11.83,1,11.45,11.45,7,12.12,12.12,3,11.59,11.59,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Semifinals,3
6,13.27,25.33,4,13.43,25.04,1,13.10,24.66,5,13.37,25.20,3,13.45,24.90,7,13.36,25.48,2,13.20,24.79,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Semifinals,3
6,12.12,37.45,4,12.12,37.16,2,12.22,36.88,5,12.12,37.32,3,12.12,37.02,7,12.09,37.57,1,11.96,36.75,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Semifinals,3
2,10.30,47.75,3,10.72,47.88,4,11.08,47.96,7,10.89,48.21,5,10.95,47.97,6,10.50,48.07,1,10.97,47.72,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Semifinals,3
1,9.76,57.51,3,9.81,57.69,4,9.76,57.72,6,9.83,58.04,5,9.90,57.87,7,9.98,58.05,2,9.88,57.60,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Semifinals,3
2,9.81,1:07.32,5,9.94,1:07.63,1,9.46,1:07.18,6,9.64,1:07.68,4,9.74,1:07.61,7,9.81,1:07.86,3,9.86,1:07.46,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Semifinals,3
3,9.66,1:16.98,1,9.14,1:16.77,2,9.71,1:16.89,6,9.56,1:17.24,5,9.49,1:17.10,7,9.51,1:17.37,4,9.62,1:17.08,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Semifinals,3
1,9.21,1:26.19,2,9.47,1:26.24,3,9.41,1:26.30,5,9.29,1:26.53,4,9.36,1:26.46,7,9.37,1:26.74,6,9.52,1:26.60,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Semifinals,3
1,9.23,1:35.42,2,9.28,1:35.52,3,9.34,1:35.64,5,9.39,1:35.92,4,9.39,1:35.85,6,9.27,1:36.01,7,9.59,1:36.19,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Semifinals,3
1,9.27,1:44.69,2,9.26,1:44.78,3,9.28,1:44.92,5,9.31,1:45.23,4,9.33,1:45.18,6,9.35,1:45.36,7,9.50,1:45.69,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Semifinals,3
1,9.33,1:54.02,2,9.34,1:54.12,3,9.22,1:54.14,4,9.08,1:54.31,6,9.49,1:54.67,5,9.30,1:54.66,7,9.69,1:55.38,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Semifinals,3
1,9.41,2:03.43,6,10.48,2:04.60,2,9.41,2:03.55,4,9.93,2:04.24,5,9.66,2:04.33,3,9.30,2:03.96,7,10.56,2:05.94,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Semifinals,3
1,9.40,2:12.83,6,10.78,2:15.38,2,9.42,2:12.97,4,9.62,2:13.86,5,9.90,2:14.23,3,9.44,2:13.40,7,10.55,2:16.49,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Semifinals,3
1,9.57,2:22.400,7,12.72,2:28.096,2,9.71,2:22.680,4,10.05,2:23.909,5,10.29,2:24.516,3,9.58,2:22.975,6,10.63,2:27.112,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Semifinals,3
