START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,8.47,8.47,6,9.72,9.72,3,8.91,8.91,2,8.48,8.48,5,8.94,8.94,4,8.93,8.93,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,3
2,11.53,20.00,3,10.61,20.33,5,11.59,20.51,1,11.52,20.00,6,11.68,20.63,4,11.55,20.48,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,3
1,10.30,30.31,3,10.31,30.64,5,10.30,30.82,2,10.35,30.35,4,10.09,30.72,6,10.49,30.97,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,3
1,9.94,40.26,4,9.97,40.62,3,9.80,40.62,2,9.97,40.33,5,9.92,40.64,6,9.86,40.84,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,3
1,9.79,50.06,4,9.77,50.40,5,9.83,50.45,2,9.90,50.23,3,9.75,50.39,6,9.88,50.72,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,3
1,9.82,59.88,4,9.73,1:00.13,3,9.60,1:00.06,2,9.77,1:00.01,5,9.84,1:00.24,6,9.68,1:00.41,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,3
1,9.46,1:09.34,5,9.39,1:09.52,3,9.41,1:09.47,2,9.34,1:09.36,4,9.25,1:09.49,6,9.40,1:09.81,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,3
4,9.83,1:19.18,2,9.60,1:19.13,3,9.70,1:19.17,1,9.60,1:18.97,5,9.72,1:19.22,6,9.72,1:19.53,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,3
5,9.74,1:28.92,2,9.34,1:28.48,3,9.37,1:28.54,1,9.44,1:28.42,4,9.39,1:28.62,6,9.51,1:29.05,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,3
6,9.89,1:38.82,2,9.36,1:37.85,3,9.46,1:38.01,1,9.39,1:37.81,4,9.43,1:38.05,5,9.60,1:38.65,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,3
6,10.38,1:49.20,2,9.61,1:47.46,3,9.47,1:47.48,1,9.43,1:47.24,4,9.59,1:47.65,5,9.62,1:48.27,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,3
6,10.95,2:00.16,2,9.06,1:56.53,4,9.44,1:56.92,1,9.18,1:56.43,3,9.11,1:56.77,5,9.84,1:58.12,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,3
6,12.11,2:12.27,1,9.08,2:05.62,4,9.88,2:06.81,2,9.32,2:05.76,3,9.23,2:06.00,5,10.10,2:08.23,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,3
6,12.75,2:25.011,2,9.79,2:15.401,4,11.03,2:17.831,1,9.61,2:15.362,3,9.42,2:15.417,5,10.75,2:18.975,2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1500m,m,Heats,3
