START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
4,11.48,11.48,1,11.03,11.03,5,11.67,11.67,3,11.33,11.33,2,11.20,11.20,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,4
4,15.89,27.37,1,15.94,26.97,5,15.88,27.55,3,15.91,27.24,2,15.92,27.12,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,4
4,14.38,41.75,1,14.45,41.42,5,14.38,41.93,3,14.41,41.65,2,14.44,41.56,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,4
4,13.93,55.68,2,14.05,55.47,5,13.89,55.82,1,13.76,55.41,3,14.03,55.59,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,4
4,13.10,1:08.78,2,13.07,1:08.54,5,13.06,1:08.88,1,13.01,1:08.42,3,13.08,1:08.67,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,4
4,12.27,1:21.05,3,12.37,1:20.91,5,12.26,1:21.14,1,12.22,1:20.64,2,12.12,1:20.79,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,4
3,10.30,1:31.35,1,10.18,1:31.09,5,10.40,1:31.54,2,10.60,1:31.24,4,10.61,1:31.40,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,4
3,9.38,1:40.73,1,9.53,1:40.62,4,9.32,1:40.86,2,9.48,1:40.72,5,9.63,1:41.03,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,4
4,9.27,1:50.00,1,9.05,1:49.67,3,9.04,1:49.90,2,9.04,1:49.76,5,9.08,1:50.11,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,4
4,9.01,1:59.01,1,9.12,1:58.79,2,8.98,1:58.88,3,9.12,1:58.88,5,8.99,1:59.10,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,4
5,9.26,2:08.27,1,9.13,2:07.92,4,9.27,2:08.15,2,9.12,2:08.00,3,9.01,2:08.11,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,4
5,9.02,2:17.29,2,9.14,2:17.06,1,8.88,2:17.03,4,9.22,2:17.22,3,9.10,2:17.21,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,4
2,9.21,2:26.50,4,9.99,2:27.05,1,8.82,2:25.85,5,34.96,2:52.18,3,9.37,2:26.58,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,4
2,9.51,2:36.007,3,9.88,2:36.922,1,9.43,2:35.279,4,16.28,3:08.455,0,,PEN,2014-2015,ISU World Cup 2014/15 - Erzurum (TUR),1500m,m,Heats,4
