START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
0,9.117,9.117,0,8.772,8.772,0,9.234,9.234,0,9.515,9.515,0,8.958,8.958,0,8.585,8.585,2006-2007,"2007 ISU World Championships, Italy",1500M,w,SemiFinals,2
0,11.268,20.385,0,11.322,20.093,0,11.369,20.603,0,10.893,20.408,0,11.227,20.185,0,11.437,20.022,2006-2007,"2007 ISU World Championships, Italy",1500M,w,SemiFinals,2
0,10.764,31.149,0,10.842,30.936,0,10.684,31.287,0,10.583,30.991,0,10.547,30.731,0,10.895,30.916,2006-2007,"2007 ISU World Championships, Italy",1500M,w,SemiFinals,2
0,10.397,41.546,0,10.418,41.354,0,10.378,41.664,0,10.138,41.129,0,10.441,41.172,0,10.131,41.048,2006-2007,"2007 ISU World Championships, Italy",1500M,w,SemiFinals,2
0,10.321,51.867,0,10.294,51.648,0,10.285,51.949,0,10.385,51.514,0,10.442,51.614,0,10.442,51.490,2006-2007,"2007 ISU World Championships, Italy",1500M,w,SemiFinals,2
0,10.145,1:02.012,0,10.195,1:01.843,0,10.185,1:02.134,0,10.192,1:01.706,0,10.247,1:01.861,0,9.909,1:01.399,2006-2007,"2007 ISU World Championships, Italy",1500M,w,SemiFinals,2
0,10.373,1:12.385,0,10.373,1:12.216,0,10.293,1:12.427,0,10.469,1:12.175,0,10.272,1:12.133,0,10.396,1:11.795,2006-2007,"2007 ISU World Championships, Italy",1500M,w,SemiFinals,2
0,10.433,1:22.818,0,10.486,1:22.702,0,10.545,1:22.972,0,10.464,1:22.639,0,10.638,1:22.771,0,10.596,1:22.391,2006-2007,"2007 ISU World Championships, Italy",1500M,w,SemiFinals,2
0,10.511,1:33.328,0,10.575,1:33.277,0,10.685,1:33.657,0,10.519,1:33.158,0,10.412,1:33.183,0,10.690,1:33.081,2006-2007,"2007 ISU World Championships, Italy",1500M,w,SemiFinals,2
0,10.313,1:43.641,0,10.252,1:43.529,0,10.117,1:43.774,0,10.443,1:43.601,0,9.949,1:43.132,0,9.853,1:42.935,2006-2007,"2007 ISU World Championships, Italy",1500M,w,SemiFinals,2
0,10.235,1:53.876,0,10.326,1:53.855,0,10.302,1:54.076,0,10.370,1:53.971,0,10.550,1:53.681,0,10.645,1:53.579,2006-2007,"2007 ISU World Championships, Italy",1500M,w,SemiFinals,2
0,9.152,2:03.028,0,9.974,2:03.829,0,9.902,2:03.978,0,9.832,2:03.803,0,9.667,2:03.349,0,9.941,2:03.520,2006-2007,"2007 ISU World Championships, Italy",1500M,w,SemiFinals,2
0,9.468,2:12.496,0,9.966,2:13.794,0,9.925,2:13.902,0,10.004,2:13.806,0,9.804,2:13.153,0,9.086,2:12.606,2006-2007,"2007 ISU World Championships, Italy",1500M,w,SemiFinals,2
0,9.791,2:22.287,0,10.050,2:23.844,0,10.444,2:24.346,0,10.734,2:24.540,0,10.131,2:23.284,0,9.939,2:22.545,2006-2007,"2007 ISU World Championships, Italy",1500M,w,SemiFinals,2
