START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
2,10.13,10.13,4,10.40,10.40,6,10.51,10.51,1,10.02,10.02,4,10.40,10.40,3,10.22,10.22,7,10.60,10.60,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,2
1,15.83,25.96,5,16.24,26.64,6,16.26,26.77,4,16.44,26.46,3,15.84,26.24,2,15.89,26.11,7,16.30,26.90,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,2
2,14.49,40.45,5,14.26,40.90,6,14.26,41.03,1,13.89,40.35,4,14.44,40.68,3,14.46,40.57,7,14.26,41.16,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,2
4,13.71,54.16,3,13.17,54.07,6,13.29,54.32,2,13.68,54.03,5,13.59,54.27,1,13.20,53.77,7,13.37,54.53,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,2
5,11.91,1:06.07,2,11.69,1:05.76,3,11.56,1:05.88,4,11.90,1:05.93,6,11.90,1:06.17,1,11.83,1:05.60,7,11.77,1:06.30,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,2
4,10.91,1:16.98,3,11.09,1:16.85,5,11.24,1:17.12,1,10.74,1:16.67,6,11.06,1:17.23,2,11.15,1:16.75,7,11.02,1:17.32,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,2
6,10.59,1:27.57,4,10.38,1:27.23,5,10.27,1:27.39,2,10.46,1:27.13,7,10.50,1:27.73,3,10.45,1:27.20,1,9.80,1:27.12,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,2
6,9.53,1:37.10,3,9.36,1:36.59,4,9.34,1:36.73,2,9.38,1:36.51,7,10.01,1:37.74,5,9.75,1:36.95,1,9.32,1:36.44,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,2
6,9.61,1:46.71,3,9.77,1:46.36,4,9.76,1:46.49,2,9.76,1:46.27,7,10.41,1:48.15,5,9.64,1:46.59,1,9.80,1:46.24,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,2
6,9.66,1:56.37,3,9.65,1:56.01,4,9.59,1:56.08,1,9.59,1:55.86,7,11.10,1:59.25,5,9.64,1:56.23,2,9.72,1:55.96,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,2
5,9.74,2:06.11,3,9.85,2:05.86,4,9.89,2:05.97,2,9.82,2:05.68,7,11.67,2:10.92,5,9.88,2:06.11,1,9.71,2:05.67,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,2
5,9.72,2:15.83,3,9.64,2:15.50,4,9.60,2:15.57,2,9.66,2:15.34,7,12.05,2:22.97,6,10.10,2:16.21,1,9.62,2:15.29,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,2
5,9.87,2:25.70,3,9.71,2:25.21,4,9.66,2:25.23,2,9.80,2:25.14,7,13.63,2:36.60,6,10.49,2:26.70,1,9.74,2:25.03,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,2
5,10.14,2:35.84,4,10.35,2:35.56,3,10.13,2:35.36,2,10.02,2:35.16,7,13.28,2:49.88,6,11.11,2:37.81,1,9.98,2:35.01,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,2
