START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,10.601,10.601,1,10.147,10.147,2,10.473,10.473,6,10.739,10.739,4,10.667,10.667,5,10.670,10.670,2004-2005,"2005 World Championships, China",1500M,m,Heats,1
1,16.191,26.791,3,16.904,27.051,2,16.475,26.947,6,17.140,27.879,4,16.428,27.095,5,16.982,27.651,2004-2005,"2005 World Championships, China",1500M,m,Heats,1
3,13.492,40.282,1,13.106,40.156,4,13.494,40.441,6,12.850,40.729,2,13.099,40.193,5,13.066,40.717,2004-2005,"2005 World Championships, China",1500M,m,Heats,1
6,13.974,54.256,3,13.331,53.487,1,12.777,53.217,5,13.283,54.012,2,13.200,53.393,4,13.182,53.898,2004-2005,"2005 World Championships, China",1500M,m,Heats,1
2,10.952,1:05.207,4,11.843,1:05.329,5,12.298,1:05.515,6,11.623,1:05.634,3,11.828,1:05.220,1,11.302,1:05.200,2004-2005,"2005 World Championships, China",1500M,m,Heats,1
1,10.877,1:16.084,2,10.985,1:16.313,6,11.215,1:16.729,5,11.053,1:16.686,4,11.302,1:16.522,3,11.268,1:16.468,2004-2005,"2005 World Championships, China",1500M,m,Heats,1
2,11.042,1:27.126,3,11.067,1:27.379,5,10.899,1:27.627,6,11.002,1:27.688,1,10.587,1:27.109,4,10.972,1:27.439,2004-2005,"2005 World Championships, China",1500M,m,Heats,1
1,10.281,1:37.407,3,10.208,1:37.587,4,10.114,1:37.741,6,10.263,1:37.951,2,10.412,1:37.520,5,10.306,1:37.745,2004-2005,"2005 World Championships, China",1500M,m,Heats,1
3,10.302,1:47.708,1,9.700,1:47.287,4,9.998,1:47.738,6,10.368,1:48.319,2,10.049,1:47.569,5,10.307,1:48.052,2004-2005,"2005 World Championships, China",1500M,m,Heats,1
3,9.119,1:56.827,1,9.283,1:56.569,4,9.357,1:57.095,6,10.518,1:58.837,2,9.146,1:56.715,5,9.249,1:57.300,2004-2005,"2005 World Championships, China",1500M,m,Heats,1
3,9.127,2:05.953,1,8.879,2:05.447,4,8.878,2:05.973,6,10.484,2:09.321,2,8.985,2:05.700,5,8.998,2:06.298,2004-2005,"2005 World Championships, China",1500M,m,Heats,1
3,9.026,2:14.978,1,9.129,2:14.576,5,9.542,2:15.514,6,11.452,2:20.772,2,9.078,2:14.777,4,8.837,2:15.134,2004-2005,"2005 World Championships, China",1500M,m,Heats,1
3,9.005,2:23.983,1,8.864,2:23.440,5,9.732,2:25.246,6,11.555,2:32.327,2,8.970,2:23.747,4,8.941,2:24.075,2004-2005,"2005 World Championships, China",1500M,m,Heats,1
3,9.14,2:33.121,1,9.55,2:32.982,5,10.75,2:35.988,6,12.05,2:44.369,2,9.28,2:33.021,4,9.21,2:33.284,2004-2005,"2005 World Championships, China",1500M,m,Heats,1
