START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,9.69,9.69,1,9.34,9.34,5,9.85,9.85,4,9.75,9.75,6,9.94,9.94,2,9.49,9.49,2011-2012,"ISU World Cup 2011/2012, CHN, Shanghai",1500m,m,RepSemifinals,3
6,13.91,23.60,1,13.82,23.16,5,13.59,23.44,2,13.49,23.24,4,13.47,23.41,3,13.79,23.28,2011-2012,"ISU World Cup 2011/2012, CHN, Shanghai",1500m,m,RepSemifinals,3
6,11.99,35.59,2,11.85,35.01,1,11.18,34.62,3,11.90,35.14,5,12.01,35.42,4,12.04,35.32,2011-2012,"ISU World Cup 2011/2012, CHN, Shanghai",1500m,m,RepSemifinals,3
5,10.47,46.06,2,10.76,45.77,1,11.05,45.67,3,10.72,45.86,6,10.68,46.10,4,10.68,46.00,2011-2012,"ISU World Cup 2011/2012, CHN, Shanghai",1500m,m,RepSemifinals,3
1,9.55,55.61,4,10.18,55.95,2,10.05,55.72,3,9.97,55.83,6,10.11,56.21,5,10.12,56.12,2011-2012,"ISU World Cup 2011/2012, CHN, Shanghai",1500m,m,RepSemifinals,3
1,9.80,1:05.41,4,9.84,1:05.79,2,9.77,1:05.49,3,9.79,1:05.62,6,9.78,1:05.99,5,9.79,1:05.91,2011-2012,"ISU World Cup 2011/2012, CHN, Shanghai",1500m,m,RepSemifinals,3
1,9.91,1:15.32,4,9.85,1:15.64,3,10.07,1:15.56,2,9.80,1:15.42,6,9.74,1:15.73,5,9.73,1:15.64,2011-2012,"ISU World Cup 2011/2012, CHN, Shanghai",1500m,m,RepSemifinals,3
2,10.10,1:25.42,5,10.06,1:25.70,4,10.03,1:25.59,3,10.08,1:25.50,6,10.08,1:25.81,1,9.70,1:25.34,2011-2012,"ISU World Cup 2011/2012, CHN, Shanghai",1500m,m,RepSemifinals,3
2,10.13,1:35.55,5,10.09,1:35.79,3,9.97,1:35.56,4,10.15,1:35.65,6,10.10,1:35.91,1,10.07,1:35.41,2011-2012,"ISU World Cup 2011/2012, CHN, Shanghai",1500m,m,RepSemifinals,3
2,9.86,1:45.41,3,9.76,1:45.55,6,10.55,1:46.11,4,9.92,1:45.57,5,9.81,1:45.72,1,9.90,1:45.31,2011-2012,"ISU World Cup 2011/2012, CHN, Shanghai",1500m,m,RepSemifinals,3
1,9.77,1:55.18,4,9.95,1:55.50,6,10.09,1:56.20,5,10.02,1:55.59,3,9.77,1:55.49,2,9.98,1:55.29,2011-2012,"ISU World Cup 2011/2012, CHN, Shanghai",1500m,m,RepSemifinals,3
1,9.60,2:04.78,3,9.47,2:04.97,6,9.61,2:05.81,5,9.81,2:05.40,4,9.89,2:05.38,2,9.58,2:04.87,2011-2012,"ISU World Cup 2011/2012, CHN, Shanghai",1500m,m,RepSemifinals,3
1,9.23,2:14.01,3,9.28,2:14.25,5,9.67,2:15.48,4,9.79,2:15.19,6,10.16,2:15.54,2,9.24,2:14.11,2011-2012,"ISU World Cup 2011/2012, CHN, Shanghai",1500m,m,RepSemifinals,3
2,9.18,2:23.183,3,9.30,2:23.544,4,9.62,2:25.092,0,,PEN,5,11.31,2:26.847,1,9.05,2:23.154,2011-2012,"ISU World Cup 2011/2012, CHN, Shanghai",1500m,m,RepSemifinals,3
