START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,11.95,11.95,1,11.78,11.78,3,12.21,12.21,5,12.53,12.53,4,12.40,12.40,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,3
2,16.32,28.27,1,16.36,28.14,3,16.25,28.46,5,16.26,28.79,4,16.23,28.63,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,3
2,15.25,43.52,1,15.25,43.39,3,15.21,43.67,5,15.21,44.00,4,15.17,43.80,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,3
2,15.76,59.28,1,15.76,59.15,3,15.84,59.51,5,15.81,59.81,4,15.85,59.65,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,3
2,15.85,1:15.13,1,15.85,1:15.00,3,15.79,1:15.30,5,15.79,1:15.60,4,15.80,1:15.45,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,3
2,15.19,1:30.32,1,15.16,1:30.16,3,15.21,1:30.51,5,15.27,1:30.87,4,15.26,1:30.71,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,3
2,13.63,1:43.95,1,13.67,1:43.83,3,13.58,1:44.09,5,13.52,1:44.39,4,13.53,1:44.24,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,3
4,11.52,1:55.47,2,11.44,1:55.27,1,11.09,1:55.18,3,11.06,1:55.45,5,11.49,1:55.73,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,3
4,9.98,2:05.45,1,9.71,2:04.98,2,9.96,2:05.14,3,9.81,2:05.26,5,10.04,2:05.77,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,3
4,9.88,2:15.33,2,9.70,2:14.68,1,9.51,2:14.65,3,9.55,2:14.81,5,9.91,2:15.68,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,3
4,10.16,2:25.49,3,9.31,2:23.99,1,9.22,2:23.87,2,9.15,2:23.96,5,10.09,2:25.77,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,3
4,10.63,2:36.12,3,9.20,2:33.19,1,9.09,2:32.96,2,9.11,2:33.07,5,10.56,2:36.33,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,3
4,10.98,2:47.10,3,9.12,2:42.31,1,9.16,2:42.12,2,9.14,2:42.21,5,10.90,2:47.23,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,3
4,11.52,2:58.612,3,9.49,2:51.792,1,9.29,2:51.404,2,9.29,2:51.496,5,12.57,2:59.793,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,3
