START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
4,9.055,9.055,1,7.905,7.905,2,8.934,8.934,5,9.134,9.134,3,8.943,8.943,2004-2005,"2004 World Cup 1, China",1500M,w,Heats,4
4,13.920,22.975,1,13.702,21.607,2,13.685,22.619,3,13.704,22.838,5,14.059,23.002,2004-2005,"2004 World Cup 1, China",1500M,w,Heats,4
2,12.669,35.644,1,12.879,34.486,5,13.148,35.766,4,12.887,35.725,3,12.649,35.651,2004-2005,"2004 World Cup 1, China",1500M,w,Heats,4
2,11.300,46.944,1,12.331,46.816,3,11.331,47.096,5,11.477,47.201,4,11.529,47.179,2004-2005,"2004 World Cup 1, China",1500M,w,Heats,4
2,11.066,58.009,1,10.609,57.424,5,11.198,58.294,3,10.966,58.167,4,11.063,58.242,2004-2005,"2004 World Cup 1, China",1500M,w,Heats,4
2,11.435,1:09.443,1,11.216,1:08.640,4,11.353,1:09.647,5,11.544,1:09.710,3,11.347,1:09.589,2004-2005,"2004 World Cup 1, China",1500M,w,Heats,4
3,11.449,1:20.892,1,11.660,1:20.299,2,11.185,1:20.832,4,11.351,1:21.060,5,11.497,1:21.086,2004-2005,"2004 World Cup 1, China",1500M,w,Heats,4
3,10.938,1:31.830,1,10.835,1:31.133,4,11.334,1:32.166,5,11.148,1:32.207,2,10.730,1:31.816,2004-2005,"2004 World Cup 1, China",1500M,w,Heats,4
2,10.465,1:42.294,1,10.871,1:42.004,5,10.418,1:42.583,3,10.173,1:42.380,4,10.642,1:42.457,2004-2005,"2004 World Cup 1, China",1500M,w,Heats,4
2,10.901,1:53.195,1,10.542,1:52.545,5,10.968,1:53.550,4,11.046,1:53.425,3,10.828,1:53.285,2004-2005,"2004 World Cup 1, China",1500M,w,Heats,4
2,11.012,2:04.207,1,11.533,2:04.077,5,11.167,2:04.717,4,11.188,2:04.613,3,11.134,2:04.418,2004-2005,"2004 World Cup 1, China",1500M,w,Heats,4
2,10.832,2:15.039,1,10.668,2:14.745,4,10.715,2:15.431,5,11.076,2:15.688,3,10.812,2:15.230,2004-2005,"2004 World Cup 1, China",1500M,w,Heats,4
3,10.597,2:25.635,1,10.520,2:25.265,5,10.532,2:25.963,2,9.874,2:25.562,4,10.436,2:25.665,2004-2005,"2004 World Cup 1, China",1500M,w,Heats,4
1,10.23,2:35.863,2,10.67,2:35.932,5,11.77,2:37.733,3,10.53,2:36.085,4,10.49,2:36.152,2004-2005,"2004 World Cup 1, China",1500M,w,Heats,4
