START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
6,10.57,10.57,3,10.18,10.18,2,9.98,9.98,4,10.30,10.30,1,9.87,9.87,7,10.77,10.77,5,10.42,10.42,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Rep.Semifinals,1
6,14.59,25.16,3,14.52,24.70,2,14.46,24.44,4,14.53,24.83,1,14.41,24.28,7,14.52,25.29,5,14.61,25.03,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Rep.Semifinals,1
6,12.52,37.68,3,12.52,37.22,2,12.59,37.03,4,12.60,37.43,1,12.60,36.88,7,12.50,37.79,5,12.53,37.56,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Rep.Semifinals,1
6,11.75,49.43,3,11.79,49.01,2,11.82,48.85,4,11.75,49.18,1,11.89,48.77,7,11.77,49.56,5,11.77,49.33,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Rep.Semifinals,1
6,10.98,1:00.41,2,10.95,59.96,1,10.87,59.72,4,11.01,1:00.19,3,11.20,59.97,7,10.98,1:00.54,5,10.93,1:00.26,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Rep.Semifinals,1
1,9.55,1:09.96,3,10.14,1:10.10,2,10.25,1:09.97,6,10.27,1:10.46,5,10.34,1:10.31,7,10.00,1:10.54,4,9.95,1:10.21,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Rep.Semifinals,1
1,9.51,1:19.47,3,9.56,1:19.66,2,9.57,1:19.54,6,9.50,1:19.96,5,9.55,1:19.86,7,9.55,1:20.09,4,9.55,1:19.76,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Rep.Semifinals,1
2,9.72,1:29.19,3,9.54,1:29.20,1,9.51,1:29.05,6,9.49,1:29.45,5,9.49,1:29.35,7,9.54,1:29.63,4,9.58,1:29.34,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Rep.Semifinals,1
6,9.72,1:38.91,2,9.29,1:38.49,1,9.33,1:38.38,4,9.28,1:38.73,7,9.73,1:39.08,5,9.23,1:38.86,3,9.30,1:38.64,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Rep.Semifinals,1
5,9.04,1:47.95,2,9.17,1:47.66,1,9.17,1:47.55,4,9.14,1:47.87,7,9.18,1:48.26,6,9.35,1:48.21,3,9.10,1:47.74,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Rep.Semifinals,1
4,9.00,1:56.95,2,9.05,1:56.71,1,9.15,1:56.70,5,9.19,1:57.06,6,9.20,1:57.46,7,9.37,1:57.58,3,9.11,1:56.85,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Rep.Semifinals,1
3,8.91,2:05.86,1,8.88,2:05.59,2,9.04,2:05.74,5,9.03,2:06.09,6,9.31,2:06.77,7,9.46,2:07.04,4,9.11,2:05.96,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Rep.Semifinals,1
2,8.91,2:14.77,1,9.07,2:14.66,3,9.06,2:14.80,5,9.07,2:15.16,6,9.37,2:16.14,7,9.87,2:16.91,4,8.99,2:14.95,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Rep.Semifinals,1
1,,2:23.804,2,,2:23.807,5,9.82,2:24.598,4,,2:24.361,6,9.86,2:25.991,7,10.01,2:26.891,3,,2:24.360,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),m,Rep.Semifinals,1
