START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
4,9.44,9.44,3,9.31,9.31,1,8.95,8.95,5,9.77,9.77,2,9.04,9.04,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Quarterfinals,3
4,13.42,22.86,3,13.40,22.72,2,13.48,22.44,5,13.34,23.12,1,13.38,22.43,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Quarterfinals,3
5,12.04,34.90,4,12.09,34.81,1,12.02,34.46,3,11.53,34.65,2,12.06,34.49,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Quarterfinals,3
4,11.25,46.16,3,11.26,46.07,1,11.39,45.86,5,11.74,46.39,2,11.43,45.93,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Quarterfinals,3
4,10.83,56.99,5,11.05,57.12,1,10.66,56.53,3,10.31,56.71,2,10.65,56.58,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Quarterfinals,3
5,10.30,1:07.29,4,9.99,1:07.12,1,10.14,1:06.67,3,10.26,1:06.97,2,10.36,1:06.95,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Quarterfinals,3
5,9.83,1:17.12,2,9.46,1:16.59,1,9.70,1:16.38,4,9.79,1:16.77,3,9.69,1:16.65,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Quarterfinals,3
5,9.30,1:26.42,2,9.37,1:25.96,1,9.53,1:25.92,4,9.42,1:26.19,3,9.46,1:26.11,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Quarterfinals,3
5,9.82,1:36.25,2,9.83,1:35.79,1,9.62,1:35.55,4,9.69,1:35.89,3,9.69,1:35.80,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Quarterfinals,3
5,9.75,1:46.00,1,9.59,1:45.39,2,9.84,1:45.39,4,9.87,1:45.77,3,9.76,1:45.56,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Quarterfinals,3
5,9.52,1:55.52,1,9.55,1:54.95,3,9.68,1:55.07,4,9.31,1:55.08,2,9.45,1:55.02,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Quarterfinals,3
5,9.44,2:04.96,1,9.31,2:04.26,2,9.34,2:04.41,4,9.57,2:04.65,3,9.53,2:04.56,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Quarterfinals,3
5,9.22,2:14.19,1,9.00,2:13.27,2,9.13,2:13.55,4,9.13,2:13.79,3,9.11,2:13.67,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Quarterfinals,3
5,9.06,2:23.246,1,9.46,2:22.728,3,9.50,2:23.051,2,9.03,2:22.811,4,9.42,2:23.087,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Quarterfinals,3
