START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,season,competition,event,gender,round,race
1,12.74,12.74,2,12.83,12.83,3,13.18,13.18,2015-2016,ISU World Cup 2015/16 - Dresden (GER),3000mRelay,w,Heats,3
2,9.58,22.32,1,9.40,22.23,3,9.32,22.50,2015-2016,ISU World Cup 2015/16 - Dresden (GER),3000mRelay,w,Heats,3
2,9.15,31.47,1,9.15,31.38,3,9.15,31.65,2015-2016,ISU World Cup 2015/16 - Dresden (GER),3000mRelay,w,Heats,3
2,9.20,40.67,1,9.20,40.58,3,9.24,40.89,2015-2016,ISU World Cup 2015/16 - Dresden (GER),3000mRelay,w,Heats,3
2,9.32,49.99,1,9.30,49.88,3,9.54,50.43,2015-2016,ISU World Cup 2015/16 - Dresden (GER),3000mRelay,w,Heats,3
2,9.18,59.17,1,9.17,59.05,3,9.70,1:00.13,2015-2016,ISU World Cup 2015/16 - Dresden (GER),3000mRelay,w,Heats,3
2,9.29,1:08.46,1,9.34,1:08.39,3,9.49,1:09.62,2015-2016,ISU World Cup 2015/16 - Dresden (GER),3000mRelay,w,Heats,3
2,9.19,1:17.65,1,9.16,1:17.55,3,9.46,1:19.08,2015-2016,ISU World Cup 2015/16 - Dresden (GER),3000mRelay,w,Heats,3
3,21.46,1:39.11,1,9.08,1:26.63,2,9.32,1:28.40,2015-2016,ISU World Cup 2015/16 - Dresden (GER),3000mRelay,w,Heats,3
3,11.86,1:50.97,1,9.35,1:35.98,2,9.62,1:38.02,2015-2016,ISU World Cup 2015/16 - Dresden (GER),3000mRelay,w,Heats,3
3,9.70,2:00.67,1,9.50,1:45.48,2,9.68,1:47.70,2015-2016,ISU World Cup 2015/16 - Dresden (GER),3000mRelay,w,Heats,3
3,9.78,2:10.45,1,9.36,1:54.84,2,10.41,1:58.11,2015-2016,ISU World Cup 2015/16 - Dresden (GER),3000mRelay,w,Heats,3
3,9.67,2:20.12,1,9.36,2:04.20,2,9.67,2:07.78,2015-2016,ISU World Cup 2015/16 - Dresden (GER),3000mRelay,w,Heats,3
3,9.71,2:29.83,1,9.26,2:13.46,2,9.62,2:17.40,2015-2016,ISU World Cup 2015/16 - Dresden (GER),3000mRelay,w,Heats,3
3,9.47,2:39.30,1,9.30,2:22.76,2,9.57,2:26.97,2015-2016,ISU World Cup 2015/16 - Dresden (GER),3000mRelay,w,Heats,3
3,9.26,2:48.56,1,9.35,2:32.11,2,9.84,2:36.81,2015-2016,ISU World Cup 2015/16 - Dresden (GER),3000mRelay,w,Heats,3
3,9.59,2:58.15,1,9.45,2:41.56,2,9.76,2:46.57,2015-2016,ISU World Cup 2015/16 - Dresden (GER),3000mRelay,w,Heats,3
3,9.64,3:07.79,1,9.45,2:51.01,2,10.35,2:56.92,2015-2016,ISU World Cup 2015/16 - Dresden (GER),3000mRelay,w,Heats,3
3,9.46,3:17.25,1,9.34,3:00.35,2,9.92,3:06.84,2015-2016,ISU World Cup 2015/16 - Dresden (GER),3000mRelay,w,Heats,3
3,9.42,3:26.67,1,9.26,3:09.61,2,9.84,3:16.68,2015-2016,ISU World Cup 2015/16 - Dresden (GER),3000mRelay,w,Heats,3
3,9.45,3:36.12,1,9.22,3:18.83,2,9.60,3:26.28,2015-2016,ISU World Cup 2015/16 - Dresden (GER),3000mRelay,w,Heats,3
3,9.51,3:45.63,1,9.35,3:28.18,2,9.80,3:36.08,2015-2016,ISU World Cup 2015/16 - Dresden (GER),3000mRelay,w,Heats,3
3,10.07,3:55.70,1,9.49,3:37.67,2,10.05,3:46.13,2015-2016,ISU World Cup 2015/16 - Dresden (GER),3000mRelay,w,Heats,3
3,10.05,4:05.75,1,9.45,3:47.12,2,10.32,3:56.45,2015-2016,ISU World Cup 2015/16 - Dresden (GER),3000mRelay,w,Heats,3
3,9.85,4:15.60,1,9.51,3:56.63,2,10.04,4:06.49,2015-2016,ISU World Cup 2015/16 - Dresden (GER),3000mRelay,w,Heats,3
3,9.73,4:25.33,1,9.34,4:05.97,2,9.64,4:16.13,2015-2016,ISU World Cup 2015/16 - Dresden (GER),3000mRelay,w,Heats,3
3,9.87,4:35.20,1,9.72,4:15.69,2,9.40,4:25.53,2015-2016,ISU World Cup 2015/16 - Dresden (GER),3000mRelay,w,Heats,3
