START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,9.71,9.71,3,9.89,9.89,1,9.59,9.59,4,10.04,10.04,5,10.29,10.29,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Preliminaries,16
2,12.93,22.64,5,13.02,22.91,1,12.65,22.24,3,12.71,22.75,4,12.62,22.91,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Preliminaries,16
2,12.34,34.98,4,12.26,35.17,1,12.65,34.89,3,12.38,35.13,5,12.76,35.67,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Preliminaries,16
2,12.50,47.48,3,12.44,47.61,1,12.55,47.44,4,12.57,47.70,5,12.37,48.04,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Preliminaries,16
2,12.60,1:00.08,3,12.56,1:00.17,1,12.54,59.98,5,12.66,1:00.36,4,12.31,1:00.35,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Preliminaries,16
1,11.21,1:11.29,4,11.30,1:11.47,3,11.49,1:11.47,2,10.95,1:11.31,5,11.39,1:11.74,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Preliminaries,16
2,11.14,1:22.43,1,10.65,1:22.12,3,11.11,1:22.58,5,11.40,1:22.71,4,10.93,1:22.67,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Preliminaries,16
2,10.95,1:33.38,1,11.19,1:33.31,3,10.94,1:33.52,5,10.97,1:33.68,4,10.93,1:33.60,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Preliminaries,16
2,11.11,1:44.49,1,11.10,1:44.41,3,11.10,1:44.62,5,11.20,1:44.88,4,11.24,1:44.84,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Preliminaries,16
1,10.16,1:54.65,2,10.27,1:54.68,3,10.24,1:54.86,5,10.21,1:55.09,4,10.17,1:55.01,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Preliminaries,16
1,9.35,2:04.00,2,9.59,2:04.27,3,9.59,2:04.45,5,9.66,2:04.75,4,9.67,2:04.68,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Preliminaries,16
1,9.18,2:13.18,2,9.01,2:13.28,3,9.29,2:13.74,5,9.65,2:14.40,4,9.41,2:14.09,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Preliminaries,16
1,9.42,2:22.60,2,9.47,2:22.75,3,9.44,2:23.18,5,10.18,2:24.58,4,9.79,2:23.88,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Preliminaries,16
2,10.10,2:32.691,1,9.80,2:32.548,3,9.69,2:32.870,5,10.69,2:35.265,4,10.17,2:34.048,2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1500m,m,Preliminaries,16
