START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,8.58,8.58,2,8.71,8.71,4,9.01,9.01,5,9.13,9.13,3,8.86,8.86,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,2
1,12.65,21.23,2,12.71,21.42,4,12.69,21.70,5,12.61,21.74,3,12.71,21.57,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,2
1,12.50,33.73,2,12.46,33.88,4,12.43,34.13,5,12.44,34.18,3,12.42,33.99,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,2
3,12.63,46.36,2,12.47,46.35,4,12.50,46.63,5,12.56,46.74,1,12.29,46.28,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,2
4,11.04,57.40,5,11.16,57.51,1,10.47,57.10,2,10.38,57.12,3,11.02,57.30,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,2
5,10.08,1:07.48,3,9.68,1:07.19,1,10.06,1:07.16,2,10.05,1:07.17,4,9.94,1:07.24,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,2
5,9.51,1:16.99,1,9.42,1:16.61,2,9.55,1:16.71,4,9.67,1:16.84,3,9.47,1:16.71,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,2
5,9.52,1:26.51,1,9.56,1:26.17,2,9.49,1:26.20,4,9.51,1:26.35,3,9.56,1:26.27,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,2
5,9.11,1:35.62,1,9.09,1:35.26,4,9.29,1:35.49,3,9.06,1:35.41,2,9.04,1:35.31,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,2
4,9.01,1:44.63,1,9.06,1:44.32,3,9.00,1:44.49,5,9.31,1:44.72,2,9.09,1:44.40,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,2
4,9.07,1:53.70,1,9.06,1:53.38,3,9.08,1:53.57,5,9.02,1:53.74,2,9.09,1:53.49,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,2
4,9.16,2:02.86,1,9.16,2:02.54,3,9.20,2:02.77,5,9.16,2:02.90,2,9.12,2:02.61,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,2
4,9.19,2:12.05,1,9.26,2:11.80,3,9.26,2:12.03,5,9.28,2:12.18,2,9.27,2:11.88,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,2
3,9.25,2:21.298,1,9.34,2:21.137,4,9.37,2:21.394,5,9.23,2:21.411,2,9.35,2:21.225,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,2
