START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
3,8.53,8.53,4,8.69,8.69,2,8.45,8.45,5,8.85,8.85,1,8.20,8.20,2008-2009,"2009 ISU World Championships, Austria",1500M,m,Quarterfinals,1
3,12.67,21.20,4,12.66,21.36,2,12.50,20.96,5,12.55,21.40,1,12.71,20.92,2008-2009,"2009 ISU World Championships, Austria",1500M,m,Quarterfinals,1
1,12.25,33.45,5,12.49,33.85,3,12.60,33.56,4,12.40,33.81,2,12.61,33.54,2008-2009,"2009 ISU World Championships, Austria",1500M,m,Quarterfinals,1
2,12.34,45.80,4,12.27,46.13,3,12.28,45.84,5,12.42,46.23,1,12.23,45.77,2008-2009,"2009 ISU World Championships, Austria",1500M,m,Quarterfinals,1
2,12.30,58.11,4,12.27,58.40,1,12.12,57.97,5,12.21,58.44,3,12.37,58.15,2008-2009,"2009 ISU World Championships, Austria",1500M,m,Quarterfinals,1
4,12.00,1:10.11,3,11.50,1:09.91,2,11.90,1:09.88,5,11.91,1:10.35,1,11.68,1:09.83,2008-2009,"2009 ISU World Championships, Austria",1500M,m,Quarterfinals,1
3,9.87,1:19.99,4,10.36,1:20.27,1,10.04,1:19.92,0,,,2,10.10,1:19.94,2008-2009,"2009 ISU World Championships, Austria",1500M,m,Quarterfinals,1
3,9.75,1:29.74,5,9.52,1:29.80,1,9.29,1:29.21,4,0.00,1:29.80,2,9.65,1:29.59,2008-2009,"2009 ISU World Championships, Austria",1500M,m,Quarterfinals,1
3,9.56,1:39.30,4,9.63,1:39.43,1,9.63,1:38.85,5,9.72,1:39.52,2,9.60,1:39.19,2008-2009,"2009 ISU World Championships, Austria",1500M,m,Quarterfinals,1
3,9.41,1:48.72,4,9.44,1:48.87,2,9.57,1:48.43,5,9.38,1:48.91,1,9.23,1:48.42,2008-2009,"2009 ISU World Championships, Austria",1500M,m,Quarterfinals,1
3,9.27,1:58.00,5,9.22,1:58.10,1,9.12,1:57.55,4,9.14,1:58.06,2,9.25,1:57.67,2008-2009,"2009 ISU World Championships, Austria",1500M,m,Quarterfinals,1
3,9.00,2:07.00,4,8.97,2:07.07,1,9.11,2:06.66,5,9.35,2:07.41,2,9.09,2:06.76,2008-2009,"2009 ISU World Championships, Austria",1500M,m,Quarterfinals,1
4,9.07,2:16.08,3,8.99,2:16.06,1,8.94,2:15.61,5,9.50,2:16.91,2,9.03,2:15.80,2008-2009,"2009 ISU World Championships, Austria",1500M,m,Quarterfinals,1
3,9.19,2:25.265,4,9.33,2:25.390,1,9.36,2:24.970,5,10.44,2:27.341,2,9.40,2:25.197,2008-2009,"2009 ISU World Championships, Austria",1500M,m,Quarterfinals,1
