START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,10.15,10.15,5,10.77,10.77,3,10.45,10.45,4,10.63,10.63,2,10.29,10.29,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,w,Quarterfinals,2
1,14.28,24.43,5,14.36,25.13,3,14.32,24.77,4,14.39,25.02,2,14.32,24.61,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,w,Quarterfinals,2
1,13.04,37.47,5,12.92,38.05,3,12.95,37.72,4,12.93,37.95,2,13.00,37.61,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,w,Quarterfinals,2
1,12.55,50.02,5,12.55,50.60,3,12.55,50.27,4,12.54,50.49,2,12.54,50.15,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,w,Quarterfinals,2
1,12.17,1:02.19,5,12.17,1:02.77,3,12.20,1:02.47,4,12.18,1:02.67,2,12.21,1:02.36,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,w,Quarterfinals,2
1,11.78,1:13.97,5,11.67,1:14.44,3,11.73,1:14.20,4,11.67,1:14.34,2,11.73,1:14.09,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,w,Quarterfinals,2
1,11.76,1:25.73,5,11.67,1:26.11,4,11.78,1:25.98,3,11.62,1:25.96,2,11.78,1:25.87,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,w,Quarterfinals,2
1,11.17,1:36.90,5,11.14,1:37.25,3,11.08,1:37.06,4,11.16,1:37.12,2,11.13,1:37.00,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,w,Quarterfinals,2
1,10.02,1:46.92,5,9.94,1:47.19,3,10.02,1:47.08,4,10.01,1:47.13,2,10.02,1:47.02,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,w,Quarterfinals,2
1,9.50,1:56.42,5,9.64,1:56.83,3,9.55,1:56.63,4,9.58,1:56.71,2,9.52,1:56.54,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,w,Quarterfinals,2
1,9.27,2:05.69,5,9.39,2:06.22,3,9.21,2:05.84,4,9.20,2:05.91,2,9.23,2:05.77,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,w,Quarterfinals,2
2,9.19,2:14.88,5,9.41,2:15.63,3,9.06,2:14.90,4,9.12,2:15.03,1,9.06,2:14.83,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,w,Quarterfinals,2
5,11.07,2:25.95,4,9.56,2:25.19,2,9.23,2:24.13,3,9.59,2:24.62,1,9.04,2:23.87,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,w,Quarterfinals,2
5,10.61,2:36.56,4,9.85,2:35.04,2,9.17,2:33.30,3,9.18,2:33.80,1,9.26,2:33.13,2019-2020,"ISU World Cup 2019/20 - Salt Lake City, UT (USA)",1500m,w,Quarterfinals,2
