START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,9.385,9.385,2,9.498,9.498,3,9.711,9.711,5,9.939,9.939,4,9.921,9.921,2002-2003,2003 World Cup 6 Canada,1500M,m,Heats,2
1,14.861,24.245,2,14.882,24.380,3,14.746,24.457,5,14.859,24.797,4,14.769,24.690,2002-2003,2003 World Cup 6 Canada,1500M,m,Heats,2
2,12.165,36.410,3,12.084,36.463,1,11.833,36.289,5,12.060,36.857,4,11.865,36.555,2002-2003,2003 World Cup 6 Canada,1500M,m,Heats,2
2,11.112,47.521,3,11.159,47.622,1,11.168,47.457,5,10.942,47.799,4,11.132,47.687,2002-2003,2003 World Cup 6 Canada,1500M,m,Heats,2
2,11.046,58.566,3,10.946,58.567,1,11.018,58.474,5,11.095,58.894,4,11.072,58.758,2002-2003,2003 World Cup 6 Canada,1500M,m,Heats,2
1,10.941,1:09.507,3,11.047,1:09.613,2,11.046,1:09.520,5,10.922,1:09.816,4,10.965,1:09.723,2002-2003,2003 World Cup 6 Canada,1500M,m,Heats,2
2,10.675,1:20.181,3,10.674,1:20.287,5,11.089,1:20.609,1,10.254,1:20.069,4,10.877,1:20.599,2002-2003,2003 World Cup 6 Canada,1500M,m,Heats,2
2,9.804,1:29.985,3,9.793,1:30.079,4,9.645,1:30.253,1,9.888,1:29.956,5,10.163,1:30.762,2002-2003,2003 World Cup 6 Canada,1500M,m,Heats,2
1,10.448,1:40.433,4,10.514,1:40.592,3,10.318,1:40.571,2,10.517,1:40.473,5,9.948,1:40.710,2002-2003,2003 World Cup 6 Canada,1500M,m,Heats,2
3,10.076,1:50.509,1,9.878,1:50.470,4,10.023,1:50.594,2,10.011,1:50.483,5,10.169,1:50.878,2002-2003,2003 World Cup 6 Canada,1500M,m,Heats,2
1,9.694,2:00.203,2,9.777,2:00.246,4,9.989,2:00.582,3,9.838,2:00.321,5,10.162,2:01.040,2002-2003,2003 World Cup 6 Canada,1500M,m,Heats,2
1,9.305,2:09.507,2,9.580,2:09.826,4,9.719,2:10.301,3,9.706,2:10.026,5,10.433,2:11.472,2002-2003,2003 World Cup 6 Canada,1500M,m,Heats,2
1,9.375,2:18.882,2,9.342,2:19.167,4,9.934,2:20.234,3,9.867,2:19.892,5,10.757,2:22.229,2002-2003,2003 World Cup 6 Canada,1500M,m,Heats,2
2,10.22,2:29.095,1,9.71,2:28.872,4,10.79,2:31.016,3,10.49,2:30.375,5,11.27,2:33.493,2002-2003,2003 World Cup 6 Canada,1500M,m,Heats,2
