START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,11.09,,3,11.53,11.53,2,11.26,11.26,4,11.70,11.70,5,11.86,11.86,6,12.06,12.06,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Rep.Heats,2
1,14.24,,3,14.16,25.69,2,14.24,25.50,4,14.10,25.80,6,14.17,26.03,5,13.77,25.83,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Rep.Heats,2
2,12.49,,5,12.57,38.26,3,12.47,37.97,1,11.84,37.64,6,12.39,38.42,4,12.29,38.12,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Rep.Heats,2
2,11.59,,5,11.53,49.79,3,11.58,49.55,1,11.63,49.27,6,11.52,49.94,4,11.54,49.66,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Rep.Heats,2
3,11.46,,5,11.23,1:01.02,1,11.10,1:00.65,2,11.50,1:00.77,6,11.25,1:01.19,4,11.26,1:00.92,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Rep.Heats,2
2,10.68,,2,10.53,1:11.55,1,10.64,1:11.29,4,10.90,1:11.67,6,10.68,1:11.87,5,10.81,1:11.73,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Rep.Heats,2
4,10.39,,1,10.13,1:21.68,2,10.40,1:21.69,6,10.48,1:22.15,5,10.19,1:22.06,3,10.07,1:21.80,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Rep.Heats,2
4,10.03,,1,10.03,1:31.71,2,10.14,1:31.83,6,10.13,1:32.28,5,10.11,1:32.17,3,10.11,1:31.91,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Rep.Heats,2
4,9.22,,1,9.25,1:40.96,1,9.13,1:40.96,6,9.37,1:41.65,5,9.35,1:41.52,3,9.20,1:41.11,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Rep.Heats,2
4,8.99,,1,8.97,1:49.93,2,9.04,1:50.00,5,9.06,1:50.71,6,9.23,1:50.75,3,8.97,1:50.08,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Rep.Heats,2
4,8.95,,1,8.98,1:58.91,3,8.99,1:58.99,5,9.24,1:59.95,6,9.37,2:00.12,2,8.89,1:58.97,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Rep.Heats,2
3,8.87,,1,8.98,2:07.89,4,9.13,2:08.12,5,9.16,2:09.11,6,9.58,2:09.70,2,8.95,2:07.92,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Rep.Heats,2
3,9.34,,1,9.33,2:17.22,4,9.31,2:17.43,5,9.48,2:18.59,6,10.14,2:19.84,2,9.35,2:17.27,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Rep.Heats,2
2,9.63,,3,10.23,2:27.45,6,31.47,2:48.90,4,10.00,2:28.59,4,10.61,2:30.424,1,9.67,2:26.94,2016-2017,ISU World Cup 2016/17 - Calgary (CAN),1500m,m,Rep.Heats,2
