START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,11.37,11.37,2,11.75,11.75,3,12.02,12.02,5,12.38,12.38,6,12.58,12.58,4,12.17,12.17,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,FinalB,1
1,14.64,26.01,2,14.41,26.16,4,14.36,26.38,5,14.15,26.53,6,14.07,26.65,3,14.16,26.33,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,FinalB,1
1,13.06,39.07,2,13.03,39.19,4,13.10,39.48,5,13.05,39.58,6,13.07,39.72,3,13.01,39.34,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,FinalB,1
1,12.49,51.56,2,12.47,51.66,3,12.22,51.70,4,12.18,51.76,6,12.34,52.06,5,12.49,51.83,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,FinalB,1
4,10.96,1:02.52,3,10.83,1:02.49,2,10.74,1:02.44,1,10.59,1:02.35,6,10.77,1:02.83,5,10.86,1:02.69,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,FinalB,1
4,10.19,1:12.71,1,9.89,1:12.38,3,10.13,1:12.57,2,10.10,1:12.45,6,10.09,1:12.92,5,10.14,1:12.83,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,FinalB,1
4,9.73,1:22.44,1,9.75,1:22.13,3,9.74,1:22.31,2,9.76,1:22.21,6,9.72,1:22.64,5,9.72,1:22.55,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,FinalB,1
2,9.36,1:31.80,1,9.62,1:31.75,4,9.57,1:31.88,3,9.60,1:31.81,6,9.38,1:32.02,5,9.41,1:31.96,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,FinalB,1
3,9.03,1:40.83,2,8.94,1:40.69,6,9.19,1:41.07,1,8.84,1:40.65,5,9.02,1:41.04,4,9.04,1:41.00,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,FinalB,1
3,9.04,1:49.87,2,9.05,1:49.74,6,9.21,1:50.28,1,9.00,1:49.65,5,8.98,1:50.02,4,8.95,1:49.95,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,FinalB,1
3,9.13,1:59.00,2,9.13,1:58.87,6,9.06,1:59.34,1,9.14,1:58.79,5,9.16,1:59.18,4,9.14,1:59.09,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,FinalB,1
3,8.92,2:07.92,2,8.91,2:07.78,6,8.97,2:08.31,1,8.88,2:07.67,5,8.89,2:08.07,4,8.93,2:08.02,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,FinalB,1
2,8.97,2:16.89,3,9.15,2:16.93,6,8.98,2:17.29,1,9.00,2:16.67,4,8.92,2:16.99,5,8.99,2:17.01,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,FinalB,1
4,9.32,2:26.207,3,9.15,2:26.076,5,8.97,2:26.255,2,9.09,2:25.752,1,8.74,2:25.728,0,,PEN,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,FinalB,1
