START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
3,8.55,8.55,4,8.58,8.58,5,8.89,8.89,2,8.39,8.39,1,8.28,8.28,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Semifinals,3
1,12.36,20.91,2,12.38,20.96,5,12.52,21.41,4,12.66,21.05,3,12.69,20.97,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Semifinals,3
4,12.35,33.27,1,12.16,33.12,5,12.06,33.47,2,12.16,33.21,3,12.27,33.25,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Semifinals,3
4,10.71,43.98,2,10.58,43.71,5,10.75,44.23,3,10.59,43.81,1,10.19,43.44,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Semifinals,3
3,10.66,54.64,2,10.71,54.43,5,10.54,54.78,1,10.60,54.41,4,11.27,54.71,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Semifinals,3
4,10.01,1:04.66,3,10.02,1:04.45,5,9.88,1:04.66,2,10.00,1:04.42,1,9.66,1:04.37,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Semifinals,3
5,9.62,1:14.28,3,9.59,1:14.05,2,9.06,1:13.73,1,9.17,1:13.59,4,9.68,1:14.06,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Semifinals,3
3,8.83,1:23.11,5,9.30,1:23.35,2,9.07,1:22.80,1,9.15,1:22.75,4,9.14,1:23.20,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Semifinals,3
4,9.28,1:32.40,5,9.20,1:32.55,2,9.32,1:32.13,1,9.36,1:32.11,3,9.18,1:32.39,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Semifinals,3
3,9.29,1:41.69,5,9.30,1:41.85,2,9.29,1:41.42,1,9.23,1:41.34,4,9.36,1:41.75,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Semifinals,3
3,9.16,1:50.86,5,9.18,1:51.03,2,9.19,1:50.62,1,9.08,1:50.43,4,9.19,1:50.95,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Semifinals,3
3,9.31,2:00.18,4,9.73,2:00.77,2,9.34,1:59.96,1,9.12,1:59.56,5,36.29,2:27.24,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Semifinals,3
3,9.57,2:09.75,4,9.56,2:10.33,2,9.42,2:09.39,1,9.41,2:08.98,5,17.04,2:44.28,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Semifinals,3
3,9.80,2:19.545,4,10.00,2:20.324,2,9.92,2:19.309,1,10.25,2:19.224,5,14.17,2:58.443,2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1500m,m,Semifinals,3
