START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,11.05,11.05,1,10.96,10.96,5,11.63,,4,11.36,11.36,6,11.82,11.82,3,11.07,11.07,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Rep.Semifinals,2
3,14.97,26.02,1,14.82,25.78,5,14.85,,4,14.91,26.27,6,14.82,26.64,2,14.83,25.90,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Rep.Semifinals,2
3,14.40,40.42,1,14.36,40.14,5,14.31,,4,14.31,40.58,6,14.35,40.99,2,14.39,40.29,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Rep.Semifinals,2
3,13.68,54.10,1,13.73,53.87,5,13.73,,4,13.68,54.26,6,13.68,54.67,2,13.70,53.99,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Rep.Semifinals,2
3,13.03,1:07.13,1,13.07,1:06.94,5,12.94,,4,12.98,1:07.24,6,12.96,1:07.63,2,13.05,1:07.04,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Rep.Semifinals,2
3,11.61,1:18.74,1,11.60,1:18.54,5,11.64,,4,11.70,1:18.94,6,11.62,1:19.25,2,11.61,1:18.65,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Rep.Semifinals,2
2,10.63,1:29.37,1,10.64,1:29.18,5,10.57,,3,10.54,1:29.48,6,10.56,1:29.81,4,10.88,1:29.53,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Rep.Semifinals,2
2,10.13,1:39.50,1,10.25,1:39.43,5,10.20,,3,10.14,1:39.62,6,10.18,1:39.99,4,10.18,1:39.71,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Rep.Semifinals,2
1,9.96,1:49.46,2,10.09,1:49.52,5,9.92,,3,9.96,1:49.58,6,9.92,1:49.91,4,9.91,1:49.62,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Rep.Semifinals,2
1,9.62,1:59.08,2,9.76,1:59.28,5,9.64,,3,9.71,1:59.29,6,9.63,1:59.54,4,9.72,1:59.34,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Rep.Semifinals,2
1,9.59,2:08.67,3,9.81,2:09.09,3,9.66,,2,9.70,2:08.99,5,9.70,2:09.24,6,9.92,2:09.26,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Rep.Semifinals,2
1,9.77,2:18.44,5,9.91,2:19.00,2,9.40,,4,9.91,2:18.90,3,9.37,2:18.61,6,9.91,2:19.17,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Rep.Semifinals,2
3,9.97,2:28.41,5,10.11,2:29.11,1,9.42,,4,10.16,2:29.06,2,9.33,2:27.94,6,10.14,2:29.31,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Rep.Semifinals,2
2,10.34,2:38.755,4,10.40,2:39.512,2,10.13,,3,10.38,2:39.446,1,9.97,2:37.91,5,10.65,2:39.965,2018-2019,ISU World Cup 2018/19 - Dresden (GER),1500m,w,Rep.Semifinals,2
