START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,8.659,8.659,3,8.824,8.824,2,8.751,8.751,4,9.196,9.196,5,9.203,9.203,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepQuarterfinals,3
3,12.516,21.174,1,11.815,20.638,2,12.150,20.901,4,12.046,21.241,5,12.173,21.376,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepQuarterfinals,3
4,10.658,31.833,2,10.856,31.495,3,10.777,31.678,1,10.213,31.454,5,10.501,31.876,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepQuarterfinals,3
5,10.567,42.400,1,10.618,42.112,3,10.499,42.177,2,10.664,42.119,4,10.492,42.368,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepQuarterfinals,3
4,10.549,52.949,1,10.486,52.599,3,10.665,52.842,2,10.492,52.611,5,10.605,52.973,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepQuarterfinals,3
4,9.692,1:02.641,1,9.597,1:02.196,3,9.722,1:02.564,2,9.909,1:02.520,5,9.818,1:02.790,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepQuarterfinals,3
4,9.654,1:12.295,1,9.672,1:11.868,3,9.633,1:12.197,2,9.605,1:12.125,5,9.556,1:12.347,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepQuarterfinals,3
4,9.433,1:21.728,1,9.291,1:21.159,3,9.371,1:21.568,2,9.330,1:21.455,5,9.495,1:21.841,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepQuarterfinals,3
4,9.317,1:31.044,1,9.390,1:30.549,3,9.296,1:30.864,2,9.371,1:30.826,5,9.355,1:31.196,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepQuarterfinals,3
3,9.396,1:40.440,1,9.188,1:39.737,5,10.183,1:41.048,2,9.214,1:40.040,4,9.541,1:40.737,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepQuarterfinals,3
3,9.461,1:49.901,1,9.349,1:49.086,5,9.663,1:50.711,2,9.619,1:49.659,4,9.460,1:50.197,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepQuarterfinals,3
2,9.591,1:59.492,1,9.466,1:58.552,5,10.401,2:01.112,3,9.880,1:59.539,4,9.889,2:00.086,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepQuarterfinals,3
3,9.890,2:09.381,1,9.901,2:08.453,5,10.355,2:11.467,2,9.780,2:09.319,4,10.069,2:10.154,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepQuarterfinals,3
3,10.532,2:19.913,1,10.362,2:18.815,5,10.624,2:22.091,2,10.161,2:19.479,4,10.391,2:20.545,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",1500m,m,RepQuarterfinals,3
