START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,season,competition,event,gender,round,race
1,13.44,13.44,2,13.54,13.54,2018-2019,ISU World Cup 2018/19 - Torino (ITA),2000mRelay,x,FinalB,1
1,9.43,22.87,2,9.44,22.98,2018-2019,ISU World Cup 2018/19 - Torino (ITA),2000mRelay,x,FinalB,1
1,9.01,31.88,2,8.98,31.96,2018-2019,ISU World Cup 2018/19 - Torino (ITA),2000mRelay,x,FinalB,1
1,9.40,41.28,2,9.41,41.37,2018-2019,ISU World Cup 2018/19 - Torino (ITA),2000mRelay,x,FinalB,1
1,9.54,50.82,2,9.51,50.88,2018-2019,ISU World Cup 2018/19 - Torino (ITA),2000mRelay,x,FinalB,1
2,9.25,1:00.07,1,9.02,59.90,2018-2019,ISU World Cup 2018/19 - Torino (ITA),2000mRelay,x,FinalB,1
2,8.62,1:08.69,1,8.45,1:08.35,2018-2019,ISU World Cup 2018/19 - Torino (ITA),2000mRelay,x,FinalB,1
2,8.35,1:17.04,1,8.39,1:16.74,2018-2019,ISU World Cup 2018/19 - Torino (ITA),2000mRelay,x,FinalB,1
2,8.39,1:25.43,1,8.33,1:25.07,2018-2019,ISU World Cup 2018/19 - Torino (ITA),2000mRelay,x,FinalB,1
2,8.79,1:34.22,1,8.41,1:33.48,2018-2019,ISU World Cup 2018/19 - Torino (ITA),2000mRelay,x,FinalB,1
2,8.97,1:43.19,1,8.86,1:42.34,2018-2019,ISU World Cup 2018/19 - Torino (ITA),2000mRelay,x,FinalB,1
2,9.27,1:52.46,1,9.32,1:51.66,2018-2019,ISU World Cup 2018/19 - Torino (ITA),2000mRelay,x,FinalB,1
2,9.29,2:01.75,1,9.37,2:01.03,2018-2019,ISU World Cup 2018/19 - Torino (ITA),2000mRelay,x,FinalB,1
2,9.41,2:11.16,1,9.31,2:10.34,2018-2019,ISU World Cup 2018/19 - Torino (ITA),2000mRelay,x,FinalB,1
2,8.92,2:20.08,1,8.87,2:19.21,2018-2019,ISU World Cup 2018/19 - Torino (ITA),2000mRelay,x,FinalB,1
2,8.62,2:28.70,1,8.49,2:27.70,2018-2019,ISU World Cup 2018/19 - Torino (ITA),2000mRelay,x,FinalB,1
2,8.46,2:37.16,1,8.51,2:36.21,2018-2019,ISU World Cup 2018/19 - Torino (ITA),2000mRelay,x,FinalB,1
2,8.50,2:45.669,1,8.47,2:44.684,2018-2019,ISU World Cup 2018/19 - Torino (ITA),2000mRelay,x,FinalB,1
